"model","bic","r_squared","rmse","mae","aic"
"huang_1992",82825.7100743061,0.60289087856127,2.25897082259074,1.74640302041904,82794.401489029
"seber_1989",82825.7100743061,0.60289087856127,2.25897082259074,1.74640302003194,82794.401489029
"gompertz_model",82825.7100743061,0.60289087856127,2.25897082259074,1.74640302020582,82794.401489029
"elmamoun_2013_M20",82879.8869651956,0.601728136031162,2.26227555853587,1.74727268422893,82848.5783799185
"elmamoun_2013_M22",82879.8869653988,0.601728136026795,2.26227555854827,1.74727259089833,82848.5783801217
"huang_1992_VII",82892.2561377481,0.601462192265517,2.26303074329005,1.75098746508819,82860.9475524709
"logistic_model",82892.2561377481,0.601462192265517,2.26303074329005,1.75098746508819,82860.9475524709
"pearl_1920",82892.2561379631,0.601462192260893,2.26303074330318,1.75098730735627,82860.9475526859
"huang_1992_IV",82899.8749157336,0.601298296130744,2.26349602394796,1.74851866319884,82868.5663304565
"peschel_1938",82902.6850094947,0.601237828018011,2.26366766121753,1.74833859607535,82871.3764242176
"ratkowsky_1986",82902.6850105082,0.601237827996199,2.26366766127944,1.74833861902467,82871.3764252311
"elmamoun_2013_M11",82908.6331691784,0.601109804175187,2.26403101084845,1.74838848585443,82877.3245839013
"elmamoun_2013_M4",82914.8161184235,0.600976683325106,2.26440876466964,1.74872012646722,82883.5075331464
"ratkowsky_1990",82919.5446065663,0.600874847503407,2.26469769918371,1.74915656020987,82888.2360212891
"elmamoun_2013_M14",82913.4299609998,0.600794874439501,2.26492457757143,1.74933347884986,82889.9485220419
"huang_1992_I",82924.5903295811,0.600766150839514,2.26500605901193,1.7494409972691,82893.281744304
"elmamoun_2013_M6",82922.8102715852,0.600592736498682,2.26549792848836,1.75018185711976,82899.3288326273
"elmamoun_2013_M7",82922.8102715853,0.60059273649868,2.26549792848837,1.75018185324756,82899.3288326274
"elmamoun_2013_M13",82922.8102715853,0.60059273649868,2.26549792848837,1.75018185324756,82899.3288326274
"strand_1958",82934.4145024305,0.600554430265346,2.26560656523526,1.74983731461861,82903.1059171533
"elmamoun_2013_M8",82945.7602180897,0.600097752468086,2.26690130566911,1.7505447361207,82922.2787791319
"elmamoun_2013_M10",82957.8878076238,0.599835937155999,2.26764325243968,1.75116082491343,82934.406368666
"wykoff_1982_II",82957.8878076238,0.599835937155999,2.26764325243968,1.75116082491343,82934.406368666
"wykoff_1982_III",82957.8878076238,0.599835937155999,2.26764325243968,1.75116082491343,82934.406368666
"hui_gadow_1993_II",82957.8878076281,0.599835937155908,2.26764325243993,1.75116083201226,82934.4063686702
"elmamoun_2013_M15",82975.6417680522,0.599452348299899,2.26872984967393,1.75200918467785,82952.1603290944
"elmamoun_2013_M16",82996.9987770492,0.598990425391134,2.27003765452741,1.75307468088159,82973.5173380914
"exponential_model",83028.9151709798,0.598299124349342,2.27199347273765,1.7548908357534,83005.433732022
"hyperbolic_model_I",83036.7380285678,0.598129501458657,2.27247311001178,1.75734883988441,83013.25658961
"elmamoun_2013_M17",83047.1537976599,0.597903545335566,2.27311188177852,1.75567595793761,83023.6723587021
"schumacher_1939",83047.1537977399,0.59790354533383,2.27311188178343,1.7556759505211,83023.6723587821
"elmamoun_2013_M2",83047.1537977458,0.597903545333703,2.27311188178379,1.75567595014687,83023.6723587879
"linear_model_II",83146.1513679559,0.59574957360951,2.27919211338651,1.75805437733371,83122.669928998
"elmamoun_2013_M12",83216.9086086233,0.594202982884548,2.28354784451484,1.768785912905,83193.4271696655
"elmamoun_2013_M18",83705.3835795907,0.583363399109922,2.31384572876448,1.78739723132582,83681.9021406329
"power_model",84441.4999779622,0.56647908721893,2.36026472819531,1.82265917023435,84418.0185390044
"larsen_hann_1987",84604.563720761,0.562879156859563,2.37004421294589,1.83047413992611,84573.2551354838
"elmamoun_2013_M1",84701.4938816452,0.56035349408779,2.37688135056349,1.8379901400651,84678.0124426874
"hui_gadow_1993_III",84701.4938816452,0.56035349408779,2.37688135056349,1.8379901400651,84678.0124426874
"elmamoun_2013_M3",84855.504274056,0.556919229598777,2.3861467037727,1.84561510938149,84824.1956887789
"elmamoun_2013_M21",84869.3170855882,0.556588820919447,2.38703622178938,1.8467118793006,84838.0085003111
"elmamoun_2013_M19",84899.5758180995,0.55586415707805,2.38898598393674,1.84682346027244,84868.2672328223
"yang_1978",84899.5758180995,0.55586415707805,2.38898598393674,1.84682346027244,84868.2672328223
"linear_model_I",87267.3861956327,0.495058116501143,2.54727825346765,1.94711036274157,87243.9047566749
"elmamoun_2013_M5",137654.597545624,-6.65516986343646,9.91820558359625,9.24788129133033,137623.288960346
"logistic_model_1.3",NA,NA,NA,NA,NA
