"model","bic","r_squared","rmse","mae","aic"
"elmamoun_2013_M1",449.587612939385,0.423058236021204,4.11995386167971,3.19846478094612,442.556196673824
"hui_gadow_1993_III",449.587612939385,0.423058236021204,4.11995386167971,3.19846478094612,442.556196673824
"power_model",449.617584224337,0.422833624959754,4.12075575991185,3.19730036975012,442.586167958776
"linear_model_I",449.766945510511,0.421712975922785,4.12475433100211,3.20346154109619,442.73552924495
"elmamoun_2013_M18",450.046662287347,0.419608420806674,4.13225310655981,3.19749712890251,443.015246021786
"linear_model_II",450.519103669625,0.416036421882752,4.14494950258295,3.20485878882295,443.487687404064
"elmamoun_2013_M5",453.233565561512,0.428263449597952,4.10132647958282,3.18184279762748,443.858343874097
"elmamoun_2013_M12",450.934337599549,0.41287880529792,4.15614071110175,3.2187711051233,443.902921333988
"elmamoun_2013_M22",453.331927637885,0.427532629739996,4.10394689418935,3.18440211298767,443.95670595047
"hyperbolic_model_I",451.142517633021,0.411289295069898,4.16176285778905,3.22401634717229,444.11110136746
"elmamoun_2013_M11",453.656122299196,0.425117277628249,4.11259545971477,3.19249405408857,444.280900611781
"larsen_hann_1987",453.688926003032,0.42487231269113,4.11347158135738,3.19540637562574,444.313704315617
"elmamoun_2013_M3",453.701617965159,0.424777506191787,4.11381060848045,3.19532947346694,444.326396277744
"elmamoun_2013_M21",453.701618012195,0.424777505840405,4.11381060973694,3.19532977169335,444.326396324781
"huang_1992_IV",453.713318726608,0.424690089924444,4.11412318344951,3.19641037488303,444.338097039193
"elmamoun_2013_M6",451.748474398487,0.40663811854795,4.17817075608977,3.2324914575002,444.717058132926
"elmamoun_2013_M7",451.748474398659,0.406638118546625,4.17817075609443,3.23249642266026,444.717058133098
"elmamoun_2013_M13",451.748474398659,0.406638118546625,4.17817075609443,3.23249642266026,444.717058133098
"elmamoun_2013_M20",454.094237292827,0.421836983708737,4.12431205142863,3.19774408930357,444.719015605413
"peschel_1938",454.108317608817,0.421731250431866,4.12468915708945,3.19543688408903,444.733095921402
"ratkowsky_1986",454.178046189196,0.42120735274941,4.12655716904676,3.1953553558872,444.802824501781
"elmamoun_2013_M14",451.914687342971,0.405355898445185,4.18268271043447,3.23414752387407,444.88327107741
"huang_1992_I",454.316148497963,0.420168335544553,4.13025939422221,3.20731200528413,444.940926810549
"elmamoun_2013_M8",452.253468905029,0.40273384280945,4.19189424003401,3.23618888938694,445.222052639468
"hui_gadow_1993_II",452.281341389211,0.402517605083756,4.19265300029276,3.23433092636741,445.24992512365
"elmamoun_2013_M10",452.28134138931,0.402517605082994,4.19265300029543,3.23433009603414,445.249925123749
"wykoff_1982_II",452.28134138931,0.402517605082994,4.19265300029543,3.23433009603414,445.249925123749
"wykoff_1982_III",452.28134138931,0.402517605082994,4.19265300029543,3.23433009603414,445.249925123749
"pearl_1920",454.708090309436,0.417209379046327,4.14078460922098,3.2021351612132,445.332868622021
"elmamoun_2013_M15",452.383291027442,0.401726001746829,4.19542950011462,3.2365011435739,445.351874761881
"exponential_model",452.398393631779,0.401608646141122,4.19584096127554,3.23426058105607,445.366977366218
"elmamoun_2013_M16",452.438086760702,0.401300098761455,4.19692256855789,3.23550219830303,445.406670495141
"elmamoun_2013_M4",454.874278523717,0.415950190395473,4.14525552506431,3.22037756241041,445.499056836303
"elmamoun_2013_M2",452.603897439115,0.400009478011597,4.20144379807179,3.23643147224266,445.572481173553
"schumacher_1939",452.603897439411,0.400009478009284,4.20144379807988,3.23642980970573,445.57248117385
"elmamoun_2013_M17",452.603897439435,0.400009478009097,4.20144379808054,3.23642975079606,445.572481173874
"strand_1958",455.011642561434,0.414907345675211,4.1489546358495,3.22077738543595,445.63642087402
"ratkowsky_1990",455.351674494681,0.412317863653896,4.1581256469554,3.1866097109908,445.976452807267
"huang_1992_VI",547.311280412945,-0.940045709981367,7.5549630527262,5.09120340371931,537.93605872553
"logistic_model_1.3",NA,NA,NA,NA,NA
