"model","bic","r_squared","rmse","mae","aic"
"elmamoun_2013_M12",782.175033537191,0.451541004576411,3.98224794267209,3.19231223210171,773.415090759706
"elmamoun_2013_M18",782.198102385466,0.451448644119142,3.98258323369735,3.19184942656745,773.438159607982
"hyperbolic_model_I",782.493060537041,0.450266352186815,3.98687275154307,3.20049168627002,773.733117759556
"power_model",782.756015128494,0.449210193038665,3.99070074318193,3.2003909313049,773.99607235101
"elmamoun_2013_M1",782.999328882916,0.448231114117091,3.99424608490442,3.20536597842748,774.239386105431
"hui_gadow_1993_III",782.999328882916,0.448231114117091,3.99424608490442,3.20536597842748,774.239386105431
"linear_model_II",783.1713957761,0.447537677590113,3.99675518475245,3.21419907092648,774.411452998616
"elmamoun_2013_M7",783.409227830225,0.446577769821088,4.00022587510436,3.21785758817755,774.64928505274
"elmamoun_2013_M13",783.409227830225,0.446577769821088,4.00022587510436,3.21785758817755,774.64928505274
"elmamoun_2013_M6",783.409227830638,0.446577769819417,4.0002258751104,3.21785744480511,774.649285053154
"elmamoun_2013_M14",783.840286011836,0.444833734248183,4.00652400344638,3.22437918330576,775.080343234352
"huang_1992_I",786.942595238032,0.452150852825338,3.98003333553658,3.18672017990504,775.262671534719
"strand_1958",786.953294593232,0.452108065514992,3.98018875386432,3.18601836587932,775.27337088992
"elmamoun_2013_M4",786.97353558857,0.452027111519619,3.98048279020654,3.18777002931755,775.293611885258
"elmamoun_2013_M19",786.993285801739,0.451948108880941,3.98076971800592,3.19019520085513,775.313362098427
"yang_1978",786.993285801739,0.451948108880941,3.98076971800592,3.19019520085513,775.313362098427
"elmamoun_2013_M22",787.016016813207,0.451857168681124,3.98109997594609,3.1901595367241,775.336093109895
"elmamoun_2013_M20",787.016016813231,0.451857168681029,3.98109997594644,3.19015958388955,775.336093109918
"elmamoun_2013_M11",787.031783443423,0.451794082092445,3.98132906476776,3.19004910868238,775.351859740111
"ratkowsky_1986",787.051009843862,0.451717142193746,3.98160844182087,3.19125560845541,775.371086140549
"peschel_1938",787.051009843862,0.451717142193746,3.98160844182087,3.19125560899568,775.371086140549
"pearl_1920",787.095026317719,0.451540957117891,3.98224811496536,3.18405422903146,775.415102614406
"huang_1992_VII",787.095026318334,0.451540957115429,3.9822481149743,3.18405398018382,775.415102615021
"logistic_model",787.095026318334,0.451540957115429,3.9822481149743,3.18405398018382,775.415102615021
"huang_1992_IV",787.098315124757,0.451527790711969,3.9822959139589,3.1921534208504,775.418391421445
"elmamoun_2013_M8",784.892794301867,0.440552220552004,4.02194374518254,3.2414012487159,776.132851524382
"larsen_hann_1987",788.028480339763,0.447791253467504,3.99583783981941,3.20661291557491,776.348556636451
"elmamoun_2013_M10",785.191643473668,0.439330519885574,4.02633283378037,3.24578421811246,776.431700696183
"wykoff_1982_II",785.191643473668,0.439330519885574,4.02633283378037,3.24578421811246,776.431700696183
"wykoff_1982_III",785.191643473668,0.439330519885574,4.02633283378037,3.24578421811246,776.431700696183
"hui_gadow_1993_II",785.191643473778,0.439330519885122,4.026332833782,3.24578447365987,776.431700696294
"elmamoun_2013_M15",785.353456096291,0.43866791406483,4.02871131513293,3.24848296514815,776.593513318807
"elmamoun_2013_M3",788.301572007215,0.44668939937281,3.99982241648184,3.21001975782006,776.621648303902
"elmamoun_2013_M21",788.331574740002,0.446568212161085,4.00026041711559,3.20984488826185,776.651651036689
"elmamoun_2013_M16",785.679971718949,0.437328481352796,4.03351504240962,3.25307883626854,776.920028941465
"exponential_model",785.879372280975,0.43650892874799,4.03645145807515,3.25688513562766,777.119429503491
"elmamoun_2013_M2",786.201621344422,0.435181934605942,4.04120148690056,3.26146924365775,777.441678566938
"schumacher_1939",786.20162134504,0.435181934603395,4.04120148690967,3.2614692850716,777.441678567555
"elmamoun_2013_M17",786.201621347524,0.435181934593153,4.04120148694631,3.26146936845466,777.441678570039
"linear_model_I",786.997696878811,0.431890352500978,4.05295980668994,3.27293268950191,778.237754101326
"elmamoun_2013_M5",799.42695352986,0.399881777663995,4.16557177227259,3.33225654768801,787.747029826547
"ratkowsky_1990",803.197885486685,0.383134059590722,4.22329686998754,3.44908409073262,791.517961783372
"huang_1992_VI",1099.78292239841,-4.37495783245535,12.4664771511541,9.19938555465052,1088.1029986951
"logistic_model_1.3",NA,NA,NA,NA,NA
