"model","bic","r_squared","rmse","mae","aic"
"elmamoun_2013_M5",142.658918085664,0.730182012703325,2.43641461612104,2.03204312579458,137.330100044964
"pearl_1920",144.765371635259,0.709100427923453,2.52980640736555,2.10949776476496,139.436553594558
"elmamoun_2013_M19",144.89890837565,0.707709765097676,2.53584614316028,2.12943695502996,139.570090334949
"yang_1978",144.89890837565,0.707709765097676,2.53584614316028,2.12943695502996,139.570090334949
"schumacher_1939",143.837110311713,0.683021734550663,2.64076946283976,2.18881288545962,139.840496781187
"elmamoun_2013_M17",143.837110311714,0.683021734550655,2.64076946283979,2.18881284868407,139.840496781188
"elmamoun_2013_M2",143.837110311721,0.683021734550566,2.64076946284016,2.18881301880143,139.840496781196
"exponential_model",143.884707469681,0.682482445434535,2.64301493699698,2.19060992894694,139.888093939156
"huang_1992",145.236725766896,0.704161951662375,2.55118975015391,2.13882073898001,139.907907726195
"elmamoun_2013_M16",143.91481974729,0.682140791155214,2.64443651915997,2.19012505037525,139.918206216764
"hui_gadow_1993_II",143.999905541718,0.681173418394597,2.64845750135569,2.19158653144199,140.003292011192
"elmamoun_2013_M10",143.999905541719,0.68117341839458,2.64845750135576,2.19158647483287,140.003292011194
"wykoff_1982_II",143.999905541719,0.68117341839458,2.64845750135576,2.19158647483287,140.003292011194
"wykoff_1982_III",143.999905541719,0.68117341839458,2.64845750135576,2.19158647483287,140.003292011194
"elmamoun_2013_M15",144.012313439892,0.681032102522753,2.64904438406734,2.19254257645752,140.015699909367
"elmamoun_2013_M8",144.136007661653,0.679619896723222,2.65490212754299,2.19542352053903,140.139394131127
"elmamoun_2013_M4",145.646237719821,0.699803398758721,2.5699142497486,2.17601647684786,140.31741967912
"elmamoun_2013_M14",144.528408473311,0.675098380155866,2.67357077519185,2.205254698964,140.531794942785
"strand_1958",145.97054802764,0.696306153984116,2.58484045880178,2.18463812504419,140.64172998694
"elmamoun_2013_M20",145.971161514984,0.696299499899399,2.58486877622309,2.17746458082532,140.642343474284
"elmamoun_2013_M22",145.971161519655,0.696299499848735,2.5848687764387,2.17747303568519,140.642343478955
"elmamoun_2013_M7",144.755760113059,0.672449536655904,2.68444713666407,2.2147303564923,140.759146582533
"elmamoun_2013_M13",144.755760113059,0.672449536655904,2.68444713666407,2.2147303564923,140.759146582533
"elmamoun_2013_M6",144.755760113089,0.67244953665555,2.68444713666552,2.21473202579342,140.759146582563
"peschel_1938",146.123138993523,0.694646602606722,2.59189333666981,2.18311547387081,140.794320952822
"ratkowsky_1986",146.123139026616,0.694646602245823,2.5918933382015,2.18311940008302,140.794320985915
"elmamoun_2013_M11",146.241935608223,0.69334831648654,2.59739753271259,2.18844951380189,140.913117567522
"huang_1992_IV",146.479371795532,0.690736895367112,2.608433701179,2.18081447281555,141.150553754831
"linear_model_II",145.528596539996,0.663282792659322,2.72175107054108,2.23666131883457,141.53198300947
"huang_1992_I",146.89372591943,0.686126277470039,2.62780555323399,2.20053054313091,141.564907878729
"hyperbolic_model_I",145.596666776129,0.662463210406096,2.7250614792088,2.25870301501433,141.600053245604
"elmamoun_2013_M12",146.139262733352,0.655858490497243,2.75159351143319,2.28419479075482,142.142649202827
"elmamoun_2013_M18",147.279344346924,0.641556825609636,2.80818622329673,2.31543333068278,143.282730816398
"power_model",148.586436454379,0.624427323248526,2.87450283774085,2.37573235184552,144.589822923853
"elmamoun_2013_M1",148.946742668206,0.619563195478671,2.8930571281471,2.39504795221894,144.95012913768
"hui_gadow_1993_III",148.946742668206,0.619563195478671,2.8930571281471,2.39504795221894,144.95012913768
"larsen_hann_1987",152.227855921821,0.620256740905206,2.89041886890177,2.40089772461981,146.89903788112
"elmamoun_2013_M3",152.560711808426,0.615715524222413,2.90765025960239,2.41769129997863,147.231893767725
"elmamoun_2013_M21",152.629275203501,0.614773376594832,2.91121241076592,2.42469872688139,147.3004571628
"linear_model_I",152.032909628038,0.575233193939555,3.05696898444476,2.54597021521942,148.036296097513
"ratkowsky_1990",161.095956954962,0.478758594641285,3.38637617931308,2.92025830691936,155.767138914261
"logistic_model_1.3",NA,NA,NA,NA,NA
