"model","bic","r_squared","rmse","mae","aic"
"exponential_model",12426.1939327238,0.366655240476495,3.85588167313945,3.07660322219876,12409.0512392893
"elmamoun_2013_M16",12426.3872657918,0.366600574507876,3.85604807615707,3.07674899818522,12409.2445723572
"elmamoun_2013_M15",12426.4186915312,0.366591688264587,3.85607512517209,3.07710693941347,12409.2759980967
"schumacher_1939",12426.4700493255,0.366577165574113,3.85611933067387,3.07535186728277,12409.3273558909
"elmamoun_2013_M2",12426.4700493255,0.366577165574113,3.85611933067387,3.0753518674075,12409.3273558909
"elmamoun_2013_M17",12426.4700493255,0.366577165574113,3.85611933067387,3.07535186774617,12409.3273558909
"elmamoun_2013_M8",12426.6487889294,0.36652661992066,3.85627318223445,3.07837474228994,12409.5060954948
"elmamoun_2013_M10",12426.7258658731,0.36650482213847,3.85633952873175,3.07848250017811,12409.5831724386
"wykoff_1982_II",12426.7258658731,0.36650482213847,3.85633952873175,3.07848250017811,12409.5831724386
"wykoff_1982_III",12426.7258658731,0.36650482213847,3.85633952873175,3.07848250017811,12409.5831724386
"hui_gadow_1993_II",12426.7258658731,0.36650482213847,3.85633952873175,3.07848250045828,12409.5831724386
"elmamoun_2013_M14",12428.1530994597,0.366101057094858,3.85756827295107,3.08260212277132,12411.0104060251
"huang_1992_I",12433.8871918703,0.366661170138602,3.85586362283698,3.07609749683931,12411.0302672909
"strand_1958",12434.5265356549,0.366480375925877,3.85641393497017,3.07836108473594,12411.6696110755
"elmamoun_2013_M6",12429.360995392,0.365759141722023,3.85860848929789,3.08495502919411,12412.2183019574
"elmamoun_2013_M7",12429.360995392,0.365759141722009,3.85860848929793,3.08495500860221,12412.2183019575
"elmamoun_2013_M13",12429.360995392,0.365759141722009,3.85860848929793,3.08495500860221,12412.2183019575
"elmamoun_2013_M4",12435.5580465083,0.36618857554455,3.85730196863531,3.07985654672949,12412.7011219289
"elmamoun_2013_M11",12435.757251704,0.366132207623506,3.85747348909897,3.07999193049234,12412.9003271246
"peschel_1938",12436.8697902659,0.365817306946153,3.85843155180592,3.08123627027968,12414.0128656865
"ratkowsky_1986",12436.8697905533,0.365817306864788,3.85843155205344,3.08123705180855,12414.0128659739
"huang_1992_IV",12437.5684375761,0.365619476974834,3.85903331364282,3.08349619864921,12414.7115129967
"elmamoun_2013_M22",12438.3536362652,0.365397065337041,3.85970973628893,3.0827730742697,12415.4967116858
"elmamoun_2013_M20",12438.3536367825,0.3653970651905,3.85970973673457,3.08277595336934,12415.4967122031
"hyperbolic_model_I",12434.3467512764,0.364345886428559,3.86290509396436,3.09348498865397,12417.2040578419
"elmamoun_2013_M12",12439.4357211114,0.362900126638173,3.86729557988144,3.10054557910706,12422.2930276768
"lebedev_M25_b",12445.6249160754,0.363333729178529,3.86597933837106,3.08981144658249,12422.767991496
"linear_model_II",12440.4194711289,0.362620267416181,3.86814488118261,3.10002060667626,12423.2767776943
"monomolecular_model",12447.164796025,0.362895904765612,3.86730839357261,3.08795411215582,12424.3078714456
"gompertz_model",12458.92796827,0.35954140578494,3.87747615946062,3.09826297001179,12436.0710436906
"elmamoun_2013_M18",12460.9450753738,0.35675297857286,3.88590786550929,3.12295374222358,12443.8023819393
"pearl_1920",12470.5587619991,0.356207292295966,3.88755578380271,3.10924650076469,12447.7018374197
"lebedev_M23",12473.6305138243,0.355323842302911,3.89022223501811,3.11234666585112,12450.7735892449
"lebedev_M13",12473.6305156107,0.35532384178878,3.89022223656935,3.11234417577089,12450.7735910313
"power_model",12491.8372742938,0.347820402112882,3.9127960528022,3.14939485154368,12474.6945808592
"elmamoun_2013_M1",12498.2452040844,0.345952051957364,3.91839669172275,3.15540120999009,12481.1025106498
"hui_gadow_1993_III",12498.2452040844,0.345952051957364,3.91839669172275,3.15540120999009,12481.1025106498
"larsen_hann_1987",12505.5604024031,0.34606855345578,3.91804769634902,3.15368525481919,12482.7034778237
"elmamoun_2013_M19",12509.4817008807,0.344922791774031,3.9214786249948,3.15753492948934,12486.6247763013
"yang_1978",12509.4817008807,0.344922791774031,3.9214786249948,3.15753492948934,12486.6247763013
"elmamoun_2013_M21",12511.8097260866,0.344241618108869,3.9235169449743,3.15980040753464,12488.9528015072
"elmamoun_2013_M3",12512.5182972052,0.344034151613936,3.92413755003141,3.16036618902872,12489.6613726258
"linear_model_I",12625.2559243042,0.307795191268302,4.03107532388681,3.25397578476849,12608.1132308697
"lebedev_M19",12757.2590778398,0.268301894821873,4.14447546089703,3.35427548663275,12734.4021532604
"ratkowsky_1990",13396.7074077101,0.0265601761475281,4.78033312430042,3.82431620325295,13373.8504831307
"lebedev_M16_b",13449.2924078637,-2.93818722685302e-08,4.84510969132441,3.89956382955374,13432.1497144291
"lebedev_M3",13449.2925097682,-7.48749604539967e-08,4.84510980153391,3.89956390490031,13432.1498163336
"lebedev_M4",13449.29543964,-1.38285440809405e-06,4.84511297018466,3.89956628193421,13432.1527462055
"lebedev_M5",13482.735755707,-0.0150421060062942,4.88141393264931,3.92244622952599,13465.5930622725
"lebedev_M9",13486.8650382427,-0.0169149905098238,4.88591527852839,3.92839402124019,13469.7223448081
"lebedev_M8",16147.0183519376,-2.33456410841407,8.84755239165771,7.23873447802568,16129.8756585031
"lebedev_M29_b",17784.9297953557,-5.90405266074715,12.7307988146857,11.770176822952,17762.0728707763
"elmamoun_2013_M5",18101.2961918114,-6.95136474316519,13.6623197500673,12.7769433775988,18078.439267232
