"model","bic","r_squared","rmse","mae","aic"
"lebedev_M25_b",60843.8295132779,0.423779477227209,3.17466123371302,2.51353048928308,60814.3223669595
"gompertz_model",60850.4165778536,0.423458026003358,3.1755466208296,2.51449528046638,60820.9094315352
"huang_1992_IV",60851.3414691208,0.423412876607392,3.17567095800837,2.51412664639224,60821.8343228023
"elmamoun_2013_M20",60862.1717872782,0.422883921740842,3.17712728738315,2.51553158954055,60832.6646409598
"elmamoun_2013_M22",60862.1717873216,0.42288392173872,3.17712728738899,2.51553158904789,60832.6646410032
"ratkowsky_1986",60866.9508389414,0.422650357637591,3.17777012844151,2.51595453107382,60837.443692623
"peschel_1938",60866.9508389715,0.42265035763612,3.17777012844556,2.51595452708731,60837.4436926531
"pearl_1920",60870.0104457475,0.422500777440009,3.17818175136935,2.51692805671993,60840.503299429
"elmamoun_2013_M11",60872.5777760021,0.422375234101099,3.17852718721648,2.51651304542134,60843.0706296836
"elmamoun_2013_M4",60873.065683251,0.422351372181565,3.17859283967909,2.51653184765753,60843.5585369326
"lebedev_M23",60876.8147517563,0.422167984828643,3.17909735699415,2.51780784994753,60847.3076054379
"lebedev_M13",60876.8147523038,0.422167984801857,3.17909735706783,2.51780800125832,60847.3076059853
"strand_1958",60879.4222243333,0.42204040482202,3.17944829538635,2.51720610150241,60849.9150780148
"schumacher_1939",60877.8066305196,0.421660493726493,3.18049309960917,2.51812228704794,60855.6762707808
"elmamoun_2013_M2",60877.8066305196,0.421660493726494,3.18049309960917,2.51812228758865,60855.6762707808
"elmamoun_2013_M17",60877.8066305196,0.421660493726494,3.18049309960917,2.51812228759542,60855.6762707808
"ratkowsky_1990",60887.1285205405,0.42166318179481,3.1804857082823,2.51808290848605,60857.621374222
"elmamoun_2013_M16",60880.1600925778,0.421545242206699,3.18080998821821,2.51859532541751,60858.029732839
"huang_1992_I",60888.3078932526,0.421605429807952,3.18064450396829,2.51820295583662,60858.8007469341
"elmamoun_2013_M15",60880.9884900922,0.421504669241781,3.18092153767598,2.5187365235408,60858.8581303534
"exponential_model",60881.432283269,0.421482932123506,3.18098129910749,2.51871536456982,60859.3019235302
"elmamoun_2013_M8",60885.152417437,0.421300686752091,3.18148229856082,2.51937113786175,60863.0220576981
"elmamoun_2013_M10",60885.6912150694,0.421274286876387,3.18155486628073,2.51942273520587,60863.5608553306
"wykoff_1982_II",60885.6912150694,0.421274286876387,3.18155486628073,2.51942273520587,60863.5608553306
"wykoff_1982_III",60885.6912150694,0.421274286876387,3.18155486628073,2.51942273520587,60863.5608553306
"hui_gadow_1993_II",60885.6912150699,0.421274286876365,3.18155486628079,2.51942274275123,60863.5608553311
"elmamoun_2013_M14",60903.8501942427,0.420383832980287,3.18400156852935,2.52186128123826,60881.7198345039
"elmamoun_2013_M7",60917.0250646068,0.419736925137377,3.18577790026615,2.52356689623085,60894.8947048679
"elmamoun_2013_M13",60917.0250646068,0.419736925137377,3.18577790026615,2.52356689623085,60894.8947048679
"elmamoun_2013_M6",60917.0250646077,0.419736925137332,3.18577790026628,2.52356683235111,60894.8947048689
"hyperbolic_model_I",60973.7025025544,0.416945725392907,3.1934308728328,2.53086202450094,60951.5721428155
"elmamoun_2013_M12",61015.3177442157,0.414887750542911,3.1990617477888,2.536235413308,60993.1873844768
"linear_model_II",61224.9352087919,0.404410687990527,3.22757598594768,2.55684395123932,61202.8048490531
"elmamoun_2013_M18",61362.5289409988,0.397431723042864,3.24643087222711,2.57488323821317,61340.39858126
"power_model",61673.5723952312,0.381352250543648,3.28946103526485,2.61140695135575,61651.4420354924
"larsen_hann_1987",61714.193201789,0.379713555168799,3.29381477268925,2.61494698426615,61684.6860554705
"elmamoun_2013_M1",61721.4549100807,0.378839124067981,3.29613563568855,2.61754661659478,61699.3245503418
"hui_gadow_1993_III",61721.4549100807,0.378839124067981,3.29613563568855,2.61754661659478,61699.3245503418
"elmamoun_2013_M19",61762.8883736316,0.377150918120729,3.30061175472381,2.62098335470832,61733.3812273132
"yang_1978",61762.8883736316,0.377150918120729,3.30061175472381,2.62098335470832,61733.3812273132
"elmamoun_2013_M21",61772.4940996972,0.376644157369457,3.30195419903436,2.622239121847,61742.9869533787
"elmamoun_2013_M3",61778.1791562219,0.376344041695997,3.30274896896616,2.6228709207171,61748.6720099035
"linear_model_I",62957.816545336,0.310291575106313,3.4732479912911,2.75744213009682,62935.6861855971
"lebedev_M19",63749.9249566689,0.263035040878191,3.59026451829571,2.85776576732928,63720.4178103504
"lebedev_M16_b",67345.442116127,-3.13154142617122e-08,4.18218302095347,3.36126977910071,67323.3117563882
"lebedev_M3",67345.4432940799,-1.31048960128055e-07,4.18218322950543,3.36126994951691,67323.312934341
"lebedev_M4",67345.4718737192,-2.55079984579076e-06,4.18218828942249,3.36127408794737,67323.3415139804
"lebedev_M5",67537.1300028243,-0.01636205414391,4.21625868576064,3.38679070699844,67514.9996430855
"lebedev_M9",67679.4782115937,-0.028685538095587,4.24174293215536,3.40612536497592,67657.3478518549
"lebedev_M8",85088.2965833368,-3.49170059029406,8.86356486537855,7.37915447050902,85066.1662235979
"lebedev_M29_b",94244.7873971848,-8.7443592963968,13.0550840504919,12.3457940365355,94215.2802508663
"elmamoun_2013_M5",95964.9944200759,-10.2721273200899,14.0412564208908,13.404153157811,95935.4872737574
