"model","bic","r_squared","rmse","mae","aic"
"hyperbolic_model_I",630.922805986689,0.417217363400759,2.45419155469288,2.0881416431477,622.251758602023
"linear_model_II",630.954787684374,0.417077208369118,2.45448664465908,2.08665658343556,622.283740299709
"elmamoun_2013_M12",630.960462434508,0.417052336100235,2.45453900836957,2.08691156775562,622.289415049843
"elmamoun_2013_M7",631.060462147095,0.416613866028534,2.45546193821483,2.09001912547662,622.38941476243
"elmamoun_2013_M13",631.060462147095,0.416613866028534,2.45546193821483,2.09001912547662,622.38941476243
"elmamoun_2013_M6",631.060462147261,0.416613866027804,2.45546193821636,2.09001901528808,622.389414762596
"elmamoun_2013_M14",631.158461304435,0.416183847850675,2.45636674097069,2.09060327366384,622.48741391977
"elmamoun_2013_M18",631.246779346439,0.415796038656488,2.45718244593213,2.08458211834865,622.575731961773
"hui_gadow_1993_II",631.363646394358,0.415282473262609,2.45826224574621,2.0917743275258,622.692599009693
"elmamoun_2013_M10",631.363646394359,0.415282473262608,2.45826224574621,2.09177432070255,622.692599009693
"wykoff_1982_II",631.363646394359,0.415282473262608,2.45826224574621,2.09177432070255,622.692599009693
"wykoff_1982_III",631.363646394359,0.415282473262608,2.45826224574621,2.09177432070255,622.692599009693
"elmamoun_2013_M8",631.425190862008,0.415011838252758,2.45883108012548,2.09234533840804,622.754143477343
"exponential_model",631.539097018222,0.414510617990373,2.45988422287946,2.0925491485452,622.868049633557
"elmamoun_2013_M15",631.547987604569,0.41447147875812,2.45996644159589,2.09293478780387,622.876940219904
"elmamoun_2013_M16",631.55496097219,0.414440777910943,2.46003093210413,2.09281763820702,622.883913587525
"schumacher_1939",631.778069602029,0.413457672988657,2.46209515906599,2.09377272978508,623.107022217364
"elmamoun_2013_M2",631.77806960203,0.413457672988653,2.462095159066,2.09377270877878,623.107022217365
"elmamoun_2013_M17",631.778069602035,0.413457672988633,2.46209515906605,2.09377269201796,623.10702221737
"power_model",631.985738194858,0.412541119871615,2.46401808943154,2.08276491048458,623.314690810193
"elmamoun_2013_M1",632.26855853114,0.411290577806058,2.46663931133531,2.08282578882211,623.597511146474
"hui_gadow_1993_III",632.26855853114,0.411290577806058,2.46663931133531,2.08282578882211,623.597511146474
"elmamoun_2013_M5",635.745556466563,0.417513493541117,2.45356794960432,2.0890493388787,624.184159953676
"monomolecular_model",635.778965702786,0.417367156144887,2.45387613373667,2.08888233954289,624.217569189899
"gompertz_model",635.784130958164,0.417344528281207,2.45392378418765,2.09042032719661,624.222734445277
"elmamoun_2013_M22",635.805861682291,0.417249321065047,2.45412426433442,2.08822696990563,624.244465169404
"elmamoun_2013_M20",635.805861682295,0.417249321065028,2.45412426433447,2.0882269516559,624.244465169408
"huang_1992_I",635.80782235162,0.417240730164261,2.45414235359724,2.08826639316113,624.246425838733
"strand_1958",635.809993642605,0.417231216252398,2.45416238622474,2.08790406878795,624.248597129718
"elmamoun_2013_M4",635.810036187192,0.41723102983389,2.45416277874856,2.08794492214373,624.248639674305
"peschel_1938",635.811067713154,0.417226509956797,2.45417229580694,2.08788837188417,624.249671200267
"ratkowsky_1986",635.811067713155,0.417226509956792,2.45417229580695,2.08788836819238,624.249671200268
"elmamoun_2013_M11",635.8158739167,0.417205449967145,2.45421663925864,2.08796889516228,624.254477403813
"huang_1992_IV",635.818790129785,0.417192671232367,2.45424354549138,2.08753093322783,624.257393616898
"huang_1992_VII",635.827953097518,0.417152517633052,2.45432808888141,2.09169861750698,624.266556584631
"logistic_model",635.827953097518,0.417152517633052,2.45432808888141,2.09169861750698,624.266556584631
"pearl_1920",635.827953097603,0.417152517632683,2.45432808888219,2.09169865999149,624.266556584716
"larsen_hann_1987",637.215802774129,0.411038684156519,2.46716696072069,2.08277669874483,625.654406261242
"elmamoun_2013_M19",637.23049485311,0.410973619914981,2.46730323445342,2.08283548134165,625.669098340223
"yang_1978",637.23049485311,0.410973619914981,2.46730323445342,2.08283548134165,625.669098340223
"elmamoun_2013_M21",637.542920838809,0.409588330720628,2.47020286797524,2.08357888384313,625.981524325922
"elmamoun_2013_M3",637.5469421183,0.409570479245219,2.47024021177681,2.08350619480784,625.985545605413
"linear_model_I",635.345470770576,0.397512210069572,2.49533742546675,2.09224323735586,626.67442338591
"ratkowsky_1990",648.813611947428,0.357374533347708,2.57711691492061,2.13107857025617,637.252215434541
"logistic_model_1.3",NA,NA,NA,NA,NA
