"model","bic","r_squared","rmse","mae","aic"
"elmamoun_2013_M22",175857.408174119,0.660852278000284,4.14057556910122,3.23543287439208,175824.046885638
"huang_1992_I",175866.462622642,0.660753064770886,4.14118116042323,3.23609958747893,175833.101334161
"seber_1989",175868.534890719,0.660730354016102,4.14131977298846,3.23799401843292,175835.173602237
"elmamoun_2013_M4",175879.105549332,0.660614482586035,4.14202690916347,3.23655850215265,175845.74426085
"elmamoun_2013_M11",175879.936209859,0.660605375532953,4.14208248225652,3.23652973297004,175846.574921377
"strand_1958",175888.02428069,0.660516688157268,4.14262363170873,3.23720765162881,175854.662992208
"elmamoun_2013_M6",175890.954895731,0.660371119364565,4.14351170494931,3.23697127716735,175865.93392937
"elmamoun_2013_M7",175890.954895734,0.660371119364533,4.14351170494951,3.23697130084489,175865.933929373
"elmamoun_2013_M13",175890.954895734,0.660371119364533,4.14351170494951,3.23697130084489,175865.933929373
"huang_1992_IV",175899.623453672,0.660389460366825,4.14339982226219,3.23775310910492,175866.26216519
"hyperbolic_model_I",175942.883567076,0.659800913996106,4.14698853203331,3.2438163179525,175917.862600714
"elmamoun_2013_M14",175949.667339449,0.659726353779935,4.14744294745417,3.24013662547683,175924.646373088
"huang_1992_VII",176013.654506353,0.65913614721999,4.1510382707032,3.24861048938327,175980.293217871
"logistic_model",176013.654506353,0.65913614721999,4.1510382707032,3.24861048938327,175980.293217871
"pearl_1920",176013.654507578,0.659136147206495,4.15103827078537,3.2486101407038,175980.293219097
"elmamoun_2013_M12",176049.473634535,0.658627495433636,4.15413429556568,3.25262779756555,176024.452668174
"elmamoun_2013_M8",176173.1182927,0.657261256433662,4.16243882052261,3.25387397618752,176148.097326339
"linear_model_II",176185.426950694,0.657124950296143,4.16326643276405,3.25943158714396,176160.405984333
"elmamoun_2013_M18",176228.802717831,0.656644174585919,4.16618425401512,3.26133493521037,176203.78175147
"elmamoun_2013_M15",176296.246789031,0.655895287146493,4.17072517546448,3.26198180953921,176271.22582267
"hui_gadow_1993_II",176344.095936471,0.655362988112809,4.17394979721171,3.26521154443849,176319.07497011
"elmamoun_2013_M10",176344.095936623,0.655362988111115,4.17394979722197,3.26521160065189,176319.074970262
"wykoff_1982_II",176344.095936623,0.655362988111115,4.17394979722197,3.26521160065189,176319.074970262
"wykoff_1982_III",176344.095936623,0.655362988111115,4.17394979722197,3.26521160065189,176319.074970262
"elmamoun_2013_M16",176444.205899149,0.65424664728392,4.18070441618106,3.27189754909607,176419.184932788
"exponential_model",176520.990202513,0.65338796452859,4.18589261266996,3.27757299088054,176495.969236152
"elmamoun_2013_M2",176553.177351718,0.653027379976621,4.18806936319882,3.27919965296284,176528.156385357
"schumacher_1939",176553.17735172,0.653027379976601,4.18806936319893,3.27919965687469,176528.156385359
"elmamoun_2013_M17",176553.177352623,0.65302737996648,4.18806936326002,3.27919968154961,176528.156386262
"power_model",176816.949444022,0.650058239063728,4.20595042675481,3.30008349827106,176791.928477661
"elmamoun_2013_M1",176969.901330354,0.648324917553228,4.21635395666435,3.3107452190556,176944.880363992
"hui_gadow_1993_III",176969.901330354,0.648324917553228,4.21635395666435,3.3107452190556,176944.880363992
"larsen_hann_1987",177096.750736638,0.646998824250508,4.22429597196602,3.31882572482444,177063.389448156
"elmamoun_2013_M21",177245.964473078,0.645293184807805,4.23448920050314,3.32869292906149,177212.603184596
"elmamoun_2013_M3",177270.948871693,0.64500678754353,4.23619836053432,3.33088356594638,177237.587583212
"elmamoun_2013_M19",177340.098836474,0.644212912167288,4.24093244468348,3.33494938238227,177306.737547993
"yang_1978",177340.098836474,0.644212912167288,4.24093244468348,3.33494938238227,177306.737547993
"linear_model_I",178683.987376839,0.628302861658543,4.33471822645563,3.40853390991125,178658.966410478
"ratkowsky_1990",184642.591853176,0.549556974548375,4.77184355128115,3.78909174257425,184609.230564694
"elmamoun_2013_M5",275351.199998949,-7.43778226328535,20.6528704225935,19.3903874625326,275317.838710468
"logistic_model_1.3",NA,NA,NA,NA,NA
