"model","bic","r_squared","rmse","mae","aic"
"elmamoun_2013_M11",309034.054646453,0.60316596297019,3.72494942156992,2.9170592632699,308998.286025667
"elmamoun_2013_M14",309025.729897002,0.603147581831896,3.72503568939378,2.91714783930108,308998.903431412
"ratkowsky_1990",309034.759280045,0.603161014655115,3.72497264559331,2.91698083893858,308998.990659259
"elmamoun_2013_M4",309035.290070591,0.603157287118425,3.72499014001814,2.91708620556594,308999.521449805
"huang_1992_I",309037.636157299,0.60314081103955,3.72506746611278,2.91709479416486,309001.867536513
"ratkowsky_1986",309038.064943669,0.603137799688147,3.72508159891627,2.91744218312812,309002.296322883
"peschel_1938",309038.064943669,0.603137799688147,3.72508159891627,2.91744218442046,309002.296322883
"huang_1992_IV",309041.623354433,0.603112808214404,3.72519888624337,2.91724716636209,309005.854733647
"strand_1958",309044.450952688,0.603092948269812,3.72529208819033,2.9171804851192,309008.682331902
"elmamoun_2013_M20",309050.579676909,0.603049899095744,3.72549410828367,2.91849054408897,309014.811056124
"elmamoun_2013_M22",309050.579676955,0.603049899095422,3.72549410828518,2.91849056614759,309014.811056169
"elmamoun_2013_M6",309058.227436791,0.602919291890024,3.72610695150593,2.91978870459512,309031.400971202
"elmamoun_2013_M7",309058.227436794,0.602919291890009,3.726106951506,2.91978871764115,309031.400971204
"elmamoun_2013_M13",309058.227436794,0.602919291890009,3.726106951506,2.91978871764115,309031.400971204
"elmamoun_2013_M8",309127.150942209,0.60243468073974,3.72837999365598,2.91807341781873,309100.32447662
"elmamoun_2013_M15",309227.121114007,0.601730724729301,3.73167939450375,2.92095265379736,309200.294648417
"hui_gadow_1993_II",309286.589446701,0.601311377784418,3.73364346347127,2.92288588479502,309259.762981111
"elmamoun_2013_M10",309286.589446701,0.601311377784417,3.73364346347128,2.92288588545738,309259.762981111
"wykoff_1982_II",309286.589446701,0.601311377784417,3.73364346347128,2.92288588545738,309259.762981111
"wykoff_1982_III",309286.589446701,0.601311377784417,3.73364346347128,2.92288588545738,309259.762981111
"linear_model_II",309312.379049385,0.601129382566395,3.73449554162207,2.92839195588885,309285.552583795
"elmamoun_2013_M16",309375.01651538,0.600687008842542,3.73656586822063,2.92578617995175,309348.190049791
"seber_1989",309420.418849202,0.600443426518999,3.73770535360968,2.93252995727384,309384.650228416
"elmamoun_2013_M2",309475.825871015,0.599974017766158,3.73990028258435,2.92920021925244,309448.999405426
"elmamoun_2013_M17",309475.825871022,0.599974017766109,3.73990028258458,2.92920022363057,309448.999405433
"schumacher_1939",309475.82587158,0.599974017762162,3.73990028260303,2.92920029537887,309448.99940599
"hyperbolic_model_I",309502.80428783,0.599782992544342,3.74079313710392,2.93807924519414,309475.977822241
"exponential_model",309529.787158302,0.599591844544405,3.74168635222854,2.93238987815772,309502.960692713
"elmamoun_2013_M12",309938.476348287,0.596685481515189,3.75524131673703,2.95549087224361,309911.649882697
"huang_1992_VII",309982.52414399,0.596449131600383,3.75634147670189,2.9532387558508,309946.755523204
"logistic_model",309982.52414399,0.596449131600383,3.75634147670189,2.9532387558508,309946.755523204
"pearl_1920",309982.524164712,0.596449131452403,3.75634147739061,2.9532373321392,309946.755543926
"lebedev_M13",310152.963431722,0.595230126600748,3.76201058395593,2.95967542663978,310117.194810936
"lebedev_M23",310152.963432935,0.595230126592058,3.76201058399631,2.95967771967117,310117.194812149
"elmamoun_2013_M18",310558.766485821,0.592233976361596,3.77590831719593,2.96663295732153,310531.940020231
"power_model",312086.553415869,0.581059163440566,3.82729792876255,3.01088621366684,312059.726950279
"larsen_hann_1987",312564.073208283,0.577585776672388,3.84313100635224,3.02472251064811,312528.304587497
"elmamoun_2013_M1",312568.494674234,0.577470915422018,3.84365347553611,3.02673187515432,312541.668208645
"hui_gadow_1993_III",312568.494674234,0.577470915422018,3.84365347553611,3.02673187515432,312541.668208645
"elmamoun_2013_M21",313041.575627344,0.574001242881435,3.8594026311093,3.03944956680241,313005.807006559
"elmamoun_2013_M3",313093.939315901,0.573606311017649,3.86119119029058,3.04057901760547,313058.170695115
"elmamoun_2013_M19",313281.694761835,0.572187229391748,3.86761107199771,3.04518184576769,313245.926141049
"yang_1978",313281.694761835,0.572187229391748,3.86761107199771,3.04518184576769,313245.926141049
"linear_model_I",317138.342907138,0.54188159750941,4.00225532742025,3.13645525690681,317111.516441548
"lebedev_M19",328572.970540684,0.439244717963537,4.42794898971906,3.48016037411066,328537.201919898
"lebedev_M16_b",361250.829729456,-2.38349222581036e-08,5.91310958628198,4.72813736293469,361224.003263867
"lebedev_M3",361250.834981767,-1.16781379455588e-07,5.91310986108326,4.72813756559982,361224.008516178
"lebedev_M4",361250.998884332,-3.01725425466692e-06,5.91311843648342,4.72814389057136,361224.172418742
"lebedev_M5",362188.307164439,-0.0167282787585696,5.96236246299944,4.75595051898218,362161.48069885
"lebedev_M9",362376.3475346,-0.0201171975494057,5.97229095283445,4.76279585725974,362349.521069011
"lebedev_M8",428774.742033597,-2.30330398179137,10.7470728552597,8.64010719540928,428747.915568007
"elmamoun_2013_M5",469338.699497386,-5.77040794928255,15.3859154475653,14.2043567082901,469302.9308766
"lebedev_M29_b",NA,NA,NA,NA,NA
