"model","bic","r_squared","rmse","mae","aic"
"linear_model_II",240.243242888224,0.584072209777727,2.17518662231511,1.73477639060725,234.38951173248
"elmamoun_2013_M8",240.319875979431,0.583458799580217,2.17679001369679,1.73187372914103,234.466144823687
"elmamoun_2013_M10",240.322611337897,0.583436887667387,2.17684726734387,1.73183931342222,234.468880182153
"wykoff_1982_II",240.322611337897,0.583436887667387,2.17684726734387,1.73183931342222,234.468880182153
"wykoff_1982_III",240.322611337897,0.583436887667387,2.17684726734387,1.73183931342222,234.468880182153
"hui_gadow_1993_II",240.322611337897,0.583436887667386,2.17684726734388,1.73183932586231,234.468880182153
"elmamoun_2013_M15",240.334202089897,0.583344025785139,2.17708988948693,1.73214577323722,234.480470934153
"elmamoun_2013_M14",240.341016537088,0.583289420666275,2.17723254477669,1.73305814454967,234.487285381344
"elmamoun_2013_M16",240.344192775494,0.583263966578389,2.17729904011544,1.73263069352579,234.49046161975
"exponential_model",240.352356356061,0.58319853724674,2.17746995601704,1.73348168955841,234.498625200317
"elmamoun_2013_M7",240.383185713012,0.582951353959297,2.17811553245342,1.73395561456675,234.529454557267
"elmamoun_2013_M13",240.383185713012,0.582951353959297,2.17811553245342,1.73395561456675,234.529454557267
"elmamoun_2013_M6",240.383185713016,0.582951353959261,2.17811553245352,1.73395569339676,234.529454557272
"schumacher_1939",240.385331178367,0.582934146615441,2.1781604662959,1.7338620279646,234.531600022623
"elmamoun_2013_M17",240.385331178367,0.582934146615441,2.1781604662959,1.73386202951726,234.531600022623
"elmamoun_2013_M2",240.385331178373,0.582934146615396,2.17816046629602,1.73386211354756,234.531600022629
"hyperbolic_model_I",240.556294127509,0.581560682197916,2.18174403342761,1.73698880429073,234.702562971765
"elmamoun_2013_M18",240.808662185419,0.5795249632474,2.18704471703987,1.73846356841755,234.954931029675
"elmamoun_2013_M12",240.878369241344,0.578960929957788,2.18851109734005,1.74080492196017,235.0246380856
"power_model",241.244749649028,0.575983907128237,2.19623457448121,1.74055850989719,235.391018493284
"elmamoun_2013_M1",241.517099382964,0.573757299177382,2.2019934954431,1.7445146661036,235.663368227219
"hui_gadow_1993_III",241.517099382964,0.573757299177382,2.2019934954431,1.7445146661036,235.663368227219
"flewelling_jong_1994",244.236341225764,0.583737296180147,2.17606219855998,1.73327192605088,236.431366351438
"lundqvist_1989",244.250393774252,0.583624789597538,2.17635624938299,1.73280671054232,236.445418899926
"strand_1958",244.262192492024,0.583530304001806,2.1766031692849,1.73250758834523,236.457217617698
"huang_1992_I",244.263804058068,0.583517396716786,2.17663689781315,1.73223997465945,236.458829183742
"huang_1992_IV",244.269487761553,0.583471871851472,2.17675585643605,1.73273783942592,236.464512887228
"ratkowsky_1990",244.269952465085,0.583468149486909,2.17676558286293,1.73200257121722,236.46497759076
"elmamoun_2013_M4",244.288057034765,0.583323102509185,2.1771445524265,1.73184183544874,236.483082160439
"peschel_1938",244.290468243496,0.583303781004044,2.17719502945351,1.73183553695561,236.485493369171
"ratkowsky_1986",244.290468244784,0.583303780993724,2.17719502948047,1.73183551039038,236.485493370458
"elmamoun_2013_M11",244.293132558828,0.583282430262367,2.17725080645736,1.73152449644976,236.488157684502
"elmamoun_2013_M22",244.321697062069,0.583053457179227,2.17784888943139,1.73095613147518,236.516722187744
"elmamoun_2013_M20",244.321697062247,0.583053457177804,2.17784888943511,1.73095617729184,236.516722187921
"monomolecular_model",244.33064246153,0.582981724982947,2.17803622179821,1.73117301148601,236.525667587204
"linear_model_I",242.48870905726,0.565718168052656,2.22266179649525,1.75553526964308,236.634977901515
"gompertz_model",244.483321159758,0.581755506323453,2.18123606746558,1.72754520539643,236.678346285433
"huang_1992",244.483321160748,0.581755506315496,2.18123606748633,1.7275451315804,236.678346286422
"elmamoun_2013_M5",244.568485347992,0.581069955611843,2.18302298361249,1.73101417509665,236.763510473666
"pearl_1920",244.647102927376,0.580436106081063,2.18467383810891,1.72402851462722,236.84212805305
"huang_1992_VII",244.647102934663,0.580436106022269,2.18467383826198,1.7240265371638,236.842128060337
"logistic_model",244.647102934663,0.580436106022269,2.18467383826198,1.7240265371638,236.842128060337
"larsen_hann_1987",245.358905300664,0.574653414795827,2.19967758602526,1.73990992587471,237.553930426338
"elmamoun_2013_M3",245.755562160814,0.571396457739528,2.20808319387066,1.74886695813166,237.950587286488
"elmamoun_2013_M21",245.764858277609,0.571319828801975,2.20828057383876,1.74915145886871,237.959883403283
"elmamoun_2013_M19",245.809136335287,0.570954651708425,2.20922095068656,1.7471101890386,238.004161460961
"yang_1978",245.809136335287,0.570954651708425,2.20922095068656,1.7471101890386,238.004161460961
"seber_1989",289.811154593854,-1.51253898295067e-10,3.3727764305038,2.67751477096981,282.006179719528
"logistic_model_1.3",NA,NA,NA,NA,NA
