"model","bic","r_squared","rmse","mae","aic"
"lebedev_M13",2313.2570830636,0.735754971815047,2.71915793765241,2.05623800886615,2296.62070150963
"lebedev_M23",2313.25708306363,0.735754971815032,2.71915793765249,2.05623799580412,2296.62070150966
"zeide_1992",2318.15757729088,0.73645716423207,2.7155426525231,2.06268339981189,2297.36210034842
"pearl_1920",2314.78908802401,0.734897718119651,2.72356506070169,2.0577105264636,2298.15270647004
"huang_1992_VII",2314.78908802664,0.734897718118173,2.72356506070928,2.05771039730298,2298.15270647267
"logistic_model",2314.78908802664,0.734897718118173,2.72356506070928,2.05771039730298,2298.15270647267
"gompertz_model",2321.70161879201,0.730995004292562,2.74353935209336,2.06978914110968,2305.06523723804
"huang_1992",2321.70161879268,0.730995004292182,2.7435393520953,2.06978735874725,2305.06523723871
"elmamoun_2013_M19",2330.3339923578,0.726040520046469,2.76868907980166,2.09282872741949,2313.69761080383
"yang_1978",2330.3339923578,0.726040520046469,2.76868907980166,2.09282872741949,2313.69761080383
"ratkowsky_1990",2333.02356658943,0.724478293346374,2.77657194508382,2.0924881887416,2316.38718503546
"elmamoun_2013_M22",2334.33405322518,0.723713878630147,2.78042097457196,2.09978654759883,2317.69767167121
"elmamoun_2013_M20",2334.33405322925,0.723713878627771,2.78042097458391,2.09978670629171,2317.69767167528
"monomolecular_model",2335.47370524649,0.723047388847095,2.78377258327609,2.10010572848879,2318.83732369252
"elmamoun_2013_M11",2335.76606613996,0.722876151760874,2.78463303995172,2.10163389362597,2319.12968458599
"hyperbolic_model_I",2333.07886683698,0.720834534404001,2.7948716439303,2.10697387421322,2320.60158067151
"elmamoun_2013_M4",2337.91729237124,0.72161290900788,2.79097256630831,2.10690518380791,2321.28091081727
"elmamoun_2013_M6",2334.02252323755,0.720277030731872,2.79766098260409,2.13183565292903,2321.54523707208
"elmamoun_2013_M7",2334.0225232376,0.720277030731844,2.79766098260423,2.1318356560384,2321.54523707212
"elmamoun_2013_M13",2334.0225232376,0.720277030731844,2.79766098260423,2.1318356560384,2321.54523707212
"peschel_1938",2338.46462900512,0.721290584174088,2.79258783431545,2.11100446867393,2321.82824745115
"ratkowsky_1986",2338.46462905236,0.721290584146255,2.7925878344549,2.11100716688717,2321.82824749839
"strand_1958",2339.21855504545,0.720845988322188,2.79481430775612,2.10634294458708,2322.58217349148
