"model","bic","r_squared","rmse","mae","aic"
"huang_1992_I",542454.559800451,0.468869210921078,3.87441672215909,3.09588905348333,542416.597490046
"elmamoun_2013_M3",542474.389151222,0.468761500044669,3.87480955917208,3.09549297077122,542436.426840817
"elmamoun_2013_M21",542474.389151234,0.468761500044605,3.87480955917231,3.0954928926413,542436.426840828
"huang_1992_IV",542476.613378601,0.468749416921096,3.8748536255721,3.09548106613763,542438.651068196
"larsen_hann_1987",542477.634493982,0.468743869615911,3.87487385608119,3.09549128583899,542439.672183577
"huang_1992_VII",542488.340626693,0.468685704057123,3.87508597413627,3.09657387507397,542450.378316288
"logistic_model",542488.340626693,0.468685704057123,3.87508597413627,3.09657387507397,542450.378316288
"pearl_1920",542488.340626876,0.468685704056131,3.87508597413989,3.09657389334975,542450.378316471
"elmamoun_2013_M11",542489.778395014,0.468677892292331,3.87511446118165,3.09596797183828,542451.816084609
"elmamoun_2013_M22",542496.488119861,0.468641435114143,3.87524740625677,3.09597705007486,542458.525809456
"elmamoun_2013_M4",542603.781579655,0.468058117943124,3.87737391597983,3.1000428285425,542565.819269249
"elmamoun_2013_M1",542604.924947248,0.467989389456252,3.87762439206014,3.10067329177954,542576.453214444
"hui_gadow_1993_III",542604.924947248,0.467989389456252,3.87762439206014,3.10067329177954,542576.453214444
"linear_model_I",542656.992461228,0.467706049179545,3.87865683474043,3.09437101659761,542628.520728424
"strand_1958",542726.668421948,0.467389238223107,3.87981091341672,3.10312441192972,542688.706111543
"elmamoun_2013_M19",542734.607582402,0.467345996031185,3.87996840941099,3.10129902253526,542696.645271997
"yang_1978",542734.607582402,0.467345996031185,3.87996840941099,3.10129902253526,542696.645271997
"power_model",542739.440567365,0.467257075521027,3.88029225413024,3.10402512868601,542710.968834561
"elmamoun_2013_M20",542752.306572512,0.467249582378106,3.88031954260359,3.10122780256578,542714.344262107
"peschel_1938",542939.972562819,0.466226214654874,3.884044634588,3.10737902157833,542902.010252414
"ratkowsky_1986",542967.14910795,0.466077854462291,3.8845843740719,3.10687334605736,542929.186797545
"elmamoun_2013_M18",543427.583213543,0.463494972654113,3.89396899815105,3.1179941787324,543399.111480739
"elmamoun_2013_M12",543732.050305592,0.46182197255059,3.90003561396153,3.12303149113536,543703.578572788
"hyperbolic_model_I",544479.81318023,0.457690956180485,3.91497519835619,3.13742518567998,544451.341447426
"elmamoun_2013_M6",545978.312983124,0.449316804391381,3.94508626014064,3.16395803781779,545949.84125032
"elmamoun_2013_M7",545978.31298337,0.449316804389991,3.94508626014561,3.16395803514358,545949.841250566
"elmamoun_2013_M13",545978.31298337,0.449316804389991,3.94508626014561,3.16395803514358,545949.841250566
"linear_model_II",546449.810054307,0.44665525960203,3.95460840221197,3.17162579206413,546421.338321503
"elmamoun_2013_M14",546563.128607794,0.446013674876929,3.95690035615236,3.17425222461669,546534.65687499
"elmamoun_2013_M8",547869.234313954,0.438564873023621,3.98341342137108,3.19692904988158,547840.76258115
"elmamoun_2013_M15",548406.205933343,0.435473514442562,3.99436504713142,3.2062115140911,548377.734200539
"elmamoun_2013_M10",548533.987848185,0.43473536712718,3.99697561256583,3.20789000327013,548505.516115381
"wykoff_1982_II",548533.987848185,0.43473536712718,3.99697561256583,3.20789000327013,548505.516115381
"wykoff_1982_III",548533.987848185,0.43473536712718,3.99697561256583,3.20789000327013,548505.516115381
"hui_gadow_1993_II",548533.987849134,0.434735367121691,3.99697561258524,3.20788993957163,548505.516116331
"ratkowsky_1990",548580.392758406,0.434533512530493,3.99768920389891,3.16292900736285,548542.430448001
"elmamoun_2013_M16",548940.351641961,0.432381537440582,4.00528890993856,3.21510227205703,548911.879909157
"elmamoun_2013_M2",549358.91070607,0.429946819928396,4.01386977268548,3.22251988024255,549330.438973266
"schumacher_1939",549358.910709302,0.429946819909556,4.01386977275181,3.2225196783003,549330.438976498
"elmamoun_2013_M17",549358.910720829,0.429946819842357,4.01386977298839,3.2225191713711,549330.438988025
"exponential_model",549377.697174593,0.429837296307654,4.01425534411327,3.22289548444434,549349.225441789
"elmamoun_2013_M5",800727.08240894,-6.45098627139754,14.511505581549,13.5028709720193,800689.120098535
"logistic_model_1.3",NA,NA,NA,NA,NA
