"model","bic","r_squared","rmse","mae","aic"
"pearl_1920",973.954406940565,0.768702220656892,3.13624947170829,2.28799286024077,961.051420245712
"gompertz_model",980.686713240757,0.760176997042076,3.19352476189845,2.35980554502669,967.783726545905
"huang_1992",980.686713256305,0.76017699702203,3.19352476203192,2.35980944215457,967.783726561452
"elmamoun_2013_M22",986.37480149531,0.752729647338847,3.24273077839085,2.41698004506359,973.471814800457
"elmamoun_2013_M20",986.374801496308,0.752729647337519,3.24273077839955,2.41698212527474,973.471814801455
"elmamoun_2013_M4",986.917963064256,0.752006507295506,3.24746898599906,2.42588799470814,974.014976369404
"elmamoun_2013_M11",987.912811168807,0.750676524328147,3.25616538986374,2.42436727329949,975.009824473954
"elmamoun_2013_M14",986.644290037946,0.745315236562111,3.29098840047603,2.45649552435374,976.967050016806
"ratkowsky_1986",990.628902943782,0.747009029997504,3.28002670535255,2.46200103362825,977.725916248929
"peschel_1938",990.628902960522,0.747009029974734,3.28002670550016,2.46200022947082,977.725916265669
"elmamoun_2013_M7",987.460042868437,0.744195795290078,3.29821307466965,2.46199743524451,977.782802847297
"elmamoun_2013_M13",987.460042868437,0.744195795290078,3.29821307466965,2.46199743524451,977.782802847297
"elmamoun_2013_M6",987.460042874283,0.744195795282036,3.29821307472148,2.4619985426786,977.782802853144
"elmamoun_2013_M8",987.480433075405,0.744167751276187,3.29839386254693,2.47815002769403,977.803193054265
"ratkowsky_1990",990.915860028302,0.746618419346978,3.28255786132135,2.44554577810685,978.012873333449
"elmamoun_2013_M15",988.725643099384,0.742449291014123,3.30945320356956,2.49428630664345,979.048403078244
"hui_gadow_1993_II",989.69694722039,0.741100826607946,3.31810558462596,2.50573711403235,980.019707199251
"elmamoun_2013_M10",989.696947222192,0.741100826605439,3.31810558464203,2.50573752511154,980.019707201052
"wykoff_1982_II",989.696947222192,0.741100826605439,3.31810558464203,2.50573752511154,980.019707201052
"wykoff_1982_III",989.696947222192,0.741100826605439,3.31810558464203,2.50573752511154,980.019707201052
"strand_1958",993.234812693563,0.743439612982063,3.30308439790075,2.49022170229418,980.33182599871
"monomolecular_model",993.927447918661,0.742482440717043,3.3092402145987,2.49217342216086,981.024461223808
"elmamoun_2013_M16",990.808405007828,0.739549122465809,3.32803421142375,2.51709209280592,981.131164986688
"lundqvist_1989",994.466419753876,0.74173515040261,3.31403827903472,2.49010446233264,981.563433059023
"huang_1992_IV",994.556501566031,0.741610039648232,3.31484088850387,2.50382036677996,981.653514871178
"schumacher_1939",992.012501799372,0.737857588311822,3.33882390962876,2.52873410384171,982.335261778232
"elmamoun_2013_M2",992.012501799372,0.737857588311821,3.33882390962877,2.52873410405568,982.335261778233
"elmamoun_2013_M17",992.012501799405,0.737857588311775,3.33882390962906,2.52873411670214,982.335261778265
"hyperbolic_model_I",995.319583233558,0.733155012175,3.36863839614935,2.52490308762929,985.642343212419
"exponential_model",996.174000147112,0.731926402812857,3.37638444327675,2.57368518613272,986.496760125972
"elmamoun_2013_M18",999.186722880651,0.727548942291794,3.40383985218167,2.54219373015712,989.509482859512
"elmamoun_2013_M12",1000.81979443192,0.725146302280113,3.41881547910628,2.60132558713655,991.142554410782
"power_model",1007.68061302017,0.714818714007309,3.48245394073124,2.61924303189398,998.003372999029
"linear_model_II",1009.40534720482,0.712161996600364,3.49863741565047,2.73096288596837,999.728107183676
"elmamoun_2013_M1",1011.58468825176,0.708769595761002,3.51919414230592,2.66906982640683,1001.90744823062
"hui_gadow_1993_III",1011.58468825176,0.708769595761002,3.51919414230592,2.66906982640683,1001.90744823062
"larsen_hann_1987",1015.37849799266,0.711003049725523,3.50567377215235,2.639216032503,1002.47551129781
"elmamoun_2013_M21",1019.40338147463,0.704681246340049,3.54380962226531,2.68907207352352,1006.50039477978
"elmamoun_2013_M3",1019.71059699108,0.704193066388398,3.54673747974653,2.69854674005393,1006.80761029622
"linear_model_I",1021.14657187257,0.693406520990166,3.61082404924001,2.69404903140419,1011.46933185143
"huang_1992_I",1106.97921162736,0.527095677320174,4.48447401088039,3.6246955747865,1094.07622493251
"elmamoun_2013_M5",1473.22416348952,-2.38785403321754,12.0029283805216,10.0860626144427,1460.32117679467
"logistic_model_1.3",NA,NA,NA,NA,NA
