"model","term","estimate","std.error","statistic","p.value"
"monomolecular_model","a",40.677067485413,0.236622478484924,171.90702990631,0
"monomolecular_model","b",1.00254534904346,0.00256284071162399,391.185197151087,0
"monomolecular_model","c",0.0233930950543197,0.000289799855970758,80.7215551434925,0
"elmamoun_2013_M22","a",1.20780718031004,0.0103776482319846,116.38544237677,0
"elmamoun_2013_M22","b",1.94016961317108,0.0530093286827047,36.6005316683835,1.82765623683392e-291
"elmamoun_2013_M22","c",0.0202480737609118,0.000242083321625468,83.6409283586998,0
"huang_1992_I","a",53.7686936316927,0.332112987006542,161.898798708024,0
"huang_1992_I","b",40.3420829695049,0.530172325028436,76.0923968774513,0
"huang_1992_I","c",11.8008319580988,0.263697257486469,44.7514398541073,0
"elmamoun_2013_M4","a",3.23579020047948,0.169570266822617,19.0822970389281,4.83950198472209e-81
"elmamoun_2013_M4","b",0.925979919093535,0.011549077631731,80.1778244653417,0
"elmamoun_2013_M4","c",0.0176763222397269,0.000175568911958657,100.680251660324,0
"strand_1958","a",0.0169461984525583,0.000149092574478571,113.6622565666,0
"strand_1958","b",0.915649348424613,0.00954352723520553,95.9445418719857,0
"strand_1958","c",1.23447445826574,0.134825926709906,9.15606136289985,5.47408314016566e-20
"elmamoun_2013_M11","a",4.15932462768616,0.0182169656958804,228.321483232893,0
"elmamoun_2013_M11","b",4.00100405896381,0.0798171593740318,50.127116654386,0
"elmamoun_2013_M11","c",0.723057961302131,0.00968346582734976,74.6693357723164,0
"huang_1992_IV","a",0.258857288311956,0.0146408767914072,17.680449880152,7.46625654004747e-70
"huang_1992_IV","b",2.06650293029833,0.0404198248042024,51.125974452108,0
"huang_1992_IV","c",0.139627303493545,0.00193746818972252,72.0668882380683,0
"hyperbolic_model_I","a",63.5397600962884,0.284216258966418,223.561313231542,0
"hyperbolic_model_I","b",63.5177799302554,0.453815168821944,139.963985988262,0
"elmamoun_2013_M6","a",48.4090322614162,0.124717278974463,388.150163790283,0
"elmamoun_2013_M6","b",17.4270702294745,0.0689235382309982,252.846424846436,0
"elmamoun_2013_M7","a",2.50472673360898,0.00682431299538699,367.029873234433,0
"elmamoun_2013_M7","b",0.143726610062824,0.00018514283052091,776.301246224016,0
"elmamoun_2013_M13","a",2.50472673360898,0.00682431299538699,367.029873234433,0
"elmamoun_2013_M13","b",0.143726610062824,0.00018514283052091,776.301246224016,0
"elmamoun_2013_M12","a",68.2540185428139,0.372500819298863,183.23186153331,0
"elmamoun_2013_M12","b",77.840495066183,0.636194667006106,122.353265601071,0
"elmamoun_2013_M18","a",0.833404384725455,0.00659132494216588,126.439584156141,0
"elmamoun_2013_M18","b",2.53212034657873,0.00607310095868809,416.940268868133,0
"elmamoun_2013_M14","a",0.215649960092832,0.000200871915324343,1073.56949200503,0
"elmamoun_2013_M14","b",2.68133751671668,0.00726104417025361,369.277125141497,0
"huang_1992_VII","a",32.6362913422915,0.078594986907475,415.24647597069,0
"huang_1992_VII","b",4.73460597160655,0.0289861669507944,163.340188430012,0
"huang_1992_VII","c",0.068365178981477,0.000396705088660422,172.332498210018,0
"logistic_model","a",32.6362913422915,0.078594986907475,415.24647597069,0
"logistic_model","b",4.73460597160655,0.0289861669507944,163.340188430012,0
"logistic_model","c",0.068365178981477,0.000396705088660422,172.332498210018,0
"pearl_1920","beta0",32.6362693527691,0.078594730240779,415.247552256827,0
"pearl_1920","beta1",4.73460995604041,0.0289862509362077,163.33985262393,0
"pearl_1920","beta2",0.068365283693282,0.00039670548478735,172.332590082359,0
