"model","term","estimate","std.error","statistic","p.value"
"elmamoun_2013_M2","a",31.2445332207629,0.942522741161822,33.1498985183621,1.46217707615466e-78
"elmamoun_2013_M2","b",-8.77367876608403,0.699562242841394,-12.5416699598426,2.45736314769379e-26
"schumacher_1939","beta0",31.2445331389856,0.942522745195053,33.1498982897433,1.46217863719839e-78
"schumacher_1939","beta1",-8.77367869978214,0.699562246299244,-12.5416698030744,2.45736574209399e-26
"elmamoun_2013_M17","a",3.44184434137962,0.030166004021782,114.096793824411,8.03918042135514e-170
"elmamoun_2013_M17","b",-8.77367667556307,0.699562222294188,-12.5416673398831,2.457406506492e-26
"elmamoun_2013_M16","a",31.5202261357331,0.969043358676437,32.5271576896052,2.73259508404772e-77
"elmamoun_2013_M16","b",9.2055661441606,0.731986376353885,12.5761440943951,1.94819504678918e-26
"elmamoun_2013_M15","a",0.649564362345023,0.00256603125472457,253.1396923358,1.08229020568202e-231
"elmamoun_2013_M15","b",0.752207578961518,0.0605003695687398,12.433107174773,5.10401815415816e-26
"exponential_model","a",3.49540207416413,0.0294975205312136,118.498165649732,9.66069614944444e-173
"exponential_model","b",-9.07163717782203,0.714932222600364,-12.688807261794,9.12001187332491e-27
"elmamoun_2013_M8","a",0.500814151542236,0.00325737494372143,153.747775492518,6.72601616487695e-193
"elmamoun_2013_M8","b",0.959300466895024,0.0775512783721648,12.3698859262047,7.8107844309695e-26
"hui_gadow_1993_II","a",31.8018411098444,0.996674688010329,31.9079449818584,5.22669050131545e-76
"hui_gadow_1993_II","b",-9.65323336059587,0.765794184110543,-12.6055192908104,1.59844780885634e-26
"elmamoun_2013_M10","a",3.45952411679759,0.0313401555399827,110.386309741955,2.84099178600071e-167
"elmamoun_2013_M10","b",-9.65323156543661,0.765794158449884,-12.6055173690233,1.59846850227028e-26
"wykoff_1982_II","a",3.45952411679759,0.0313401555399827,110.386309741955,2.84099178600071e-167
"wykoff_1982_II","b",-9.65323156543661,0.765794158449884,-12.6055173690233,1.59846850227028e-26
"wykoff_1982_III","a",3.45952411679759,0.0313401555399827,110.386309741955,2.84099178600071e-167
"wykoff_1982_III","b",-9.65323156543661,0.765794158449884,-12.6055173690233,1.59846850227028e-26
"elmamoun_2013_M14","a",0.249173426070393,0.00350867291877067,71.0164303823726,1.38184348444114e-133
"elmamoun_2013_M14","b",1.04586043728669,0.0856758297471922,12.2071818898371,2.333107858236e-25
"elmamoun_2013_M7","a",-0.964294721543071,0.0795056152827472,-12.1286366769659,3.95528373353032e-25
"elmamoun_2013_M7","b",-0.175297532305694,0.00321598250721934,-54.5082356362884,7.91890014231037e-114
"elmamoun_2013_M13","a",-0.964294721543071,0.0795056152827472,-12.1286366769659,3.95528373353032e-25
"elmamoun_2013_M13","b",-0.175297532305694,0.00321598250721934,-54.5082356362884,7.91890014231037e-114
"elmamoun_2013_M6","a",32.5423183726713,1.19403321481103,27.2541148512534,8.6227481047685e-66
"elmamoun_2013_M6","b",5.5009064468864,0.547550637952091,10.0463885266584,3.91325252346799e-19
"huang_1992_I","a",31.8075962818737,1.55596695252785,20.4423340934064,1.09438776867857e-48
"huang_1992_I","b",7.37713255807859,1.88477941758952,3.91405619630193,0.00012883904194556
"huang_1992_I","c",-1.04481286413668,2.18936935261871,-0.477220923407454,0.633786956933458
"strand_1958","a",0.0322934584644734,0.00247576190316248,13.0438465925267,9.12387440807381e-28
"strand_1958","b",0.172224331050873,0.118495843166823,1.45342086648904,0.147857874642005
"strand_1958","c",2.19984386609319,1.29517485953235,1.69849179043476,0.0911524723239831
"elmamoun_2013_M4","a",2.77300870817196,1.52151310710274,1.82253356558479,0.0700427017390605
"elmamoun_2013_M4","b",0.170261639097692,0.136823760754208,1.24438648783782,0.214984263708579
"elmamoun_2013_M4","c",0.0339479196412927,0.00281373675101032,12.0650660119868,6.52940441593855e-25
"ratkowsky_1986","beta0",29.7985521405066,1.83547470043048,16.2347931755844,5.02257573133404e-37
"ratkowsky_1986","beta1",0.0249216927784063,0.0175934133305656,1.416535399365,0.158356735401827
"ratkowsky_1986","beta2",1.55235079645887,0.31051257059934,4.99931707583555,1.36392544574411e-06
"elmamoun_2013_M20","a",28.3376856948434,1.76597526742354,16.0464793689814,1.74001388327396e-36
"elmamoun_2013_M20","b",0.0199541488347788,0.0146268271958086,1.36421580481219,0.174212436487482
"elmamoun_2013_M20","c",1.612190611407,0.318109313287746,5.06803964569465,9.96286786069625e-07
"elmamoun_2013_M22","a",1.61220972663723,0.31811077393262,5.06807646502006,9.96118363612455e-07
"elmamoun_2013_M22","b",1.76856840340875,1.3896093292788,1.27270907451854,0.204771903864553
"elmamoun_2013_M22","c",0.035288834873876,0.00219911641583275,16.0468243608254,1.73605313361454e-36
"huang_1992_IV","a",0.336293437894017,0.322812488918727,1.04176092759126,0.298927515578163
"huang_1992_IV","b",2.75763698942214,0.784049680526485,3.51717124298858,0.000552791587141868
"huang_1992_IV","c",0.229343099342289,0.0183547366517896,12.4950362237928,3.64998964452704e-26
"hyperbolic_model_I","a",35.0610044811646,1.484255414842,23.6219481704885,4.82266742524122e-57
"hyperbolic_model_I","b",13.0104816458189,1.61530624190184,8.05449846494778,1.05993621922865e-13
"gompertz_model","a",27.4296182833805,0.800011392240684,34.2865346036576,1.3789131570431e-80
"gompertz_model","b",-1.69946588589753,0.344679671899044,-4.9305660427671,1.8619524789134e-06
