"model","term","estimate","std.error","statistic","p.value"
"pearl_1920","beta0",19.7851199357033,0.236734988092008,83.5749717232914,0
"pearl_1920","beta1",2.44412533559685,0.121699920807554,20.0832122106454,6.05986886344907e-85
"pearl_1920","beta2",0.110209777340242,0.00523497051312866,21.0526070899252,1.12117034514304e-92
"gompertz_model","a",20.1873997553691,0.279947277063974,72.1114345782899,0
"gompertz_model","b",-1.46645031859473,0.0590304400033093,-24.8422732155227,1.72462498928449e-125
"gompertz_model","c",0.0866662238587368,0.00471737209415389,18.3717167374055,5.320894488115e-72
"elmamoun_2013_M5","a",1.98783011948604,0.131826441930534,15.0791456583006,8.24766867577826e-50
"elmamoun_2013_M5","b",0.714767984649174,0.0278745500227185,25.6423147303407,6.60340391440205e-133
"elmamoun_2013_M5","c",-0.00288871121007624,0.000276765150530822,-10.4374094951472,3.93842103287105e-25
"elmamoun_2013_M20","a",22.6172100158663,0.917961309366554,24.6385221088168,1.25786489038677e-123
"elmamoun_2013_M20","b",0.0444526195006644,0.00612371006935949,7.25909930371898,4.7895362342276e-13
"elmamoun_2013_M20","c",1.21832603582675,0.0821438789884484,14.8316107156088,2.71059612266237e-48
"elmamoun_2013_M22","a",1.21832094261078,0.0821437678594503,14.8315687770173,2.7121888950998e-48
"elmamoun_2013_M22","b",0.994624478689874,0.172635216802502,5.76142282618814,9.07072420864407e-09
"elmamoun_2013_M22","c",0.0442140023242299,0.0017945237685192,24.6382929554142,1.26393044127274e-123
"elmamoun_2013_M6","a",23.5668885483683,0.287754182155397,81.8993780449779,0
"elmamoun_2013_M6","b",5.69400455540363,0.153354419217066,37.1297063656446,2.88959467670253e-254
"elmamoun_2013_M7","a",1.17291477919452,0.0248516818906622,47.1965955606099,0
"elmamoun_2013_M7","b",0.205991328605832,0.00125758770441094,163.798777519314,0
"elmamoun_2013_M13","a",1.17291477919452,0.0248516818906622,47.1965955606099,0
"elmamoun_2013_M13","b",0.205991328605832,0.00125758770441094,163.798777519314,0
"ratkowsky_1986","beta0",24.4557772851291,1.03222704949066,23.692246097597,4.07061556411143e-115
"ratkowsky_1986","beta1",0.060079564887684,0.00760288870054954,7.90220234097881,3.65300548337225e-15
"ratkowsky_1986","beta2",1.12572627750331,0.0803366696274632,14.0126082239097,1.97036309646236e-43
"peschel_1938","a",24.4557671830273,1.03222506368188,23.6922818903421,4.06764165765219e-115
"peschel_1938","b",0.0600795020489362,0.00760288821791097,7.90219457750282,3.65322903901063e-15
"peschel_1938","c",1.12572702766047,0.0803366859405246,14.0126147161943,1.97019263158625e-43
"huang_1992_I","a",25.3700602552812,0.666215243912975,38.0808762439473,2.75335934989636e-265
"huang_1992_I","b",11.7024156519376,1.16906091149734,10.0100991632241,2.84587198638094e-23
"huang_1992_I","c",3.88477956226652,1.03721095373875,3.74540930971021,0.000183036192477423
"hyperbolic_model_I","a",26.2972295706841,0.379046294255358,69.3773556666616,0
"hyperbolic_model_I","b",13.9286844180426,0.489356465607797,28.4632683880914,2.72559835837353e-160
"huang_1992_IV","a",0.708897275764482,0.166552913852114,4.25628864346334,2.13369066090662e-05
"huang_1992_IV","b",1.88831815392165,0.201640815682863,9.36476153167108,1.3336332516097e-20
"huang_1992_IV","c",0.201906451222555,0.010250716398031,19.696813703805,6.09510091066332e-82
"elmamoun_2013_M14","a",0.284260345146007,0.00131591511694272,216.017235067891,0
"elmamoun_2013_M14","b",1.21499476526798,0.0256362301744116,47.3936595592244,0
"elmamoun_2013_M4","a",1.07898294723965,0.466906664819984,2.31091785261976,0.0208959560128556
"elmamoun_2013_M4","b",0.516816573538752,0.0535963846417599,9.64275066300034,9.88012528719475e-22
"elmamoun_2013_M4","c",0.0416210293757311,0.00139241445662297,29.8912649015975,8.03221995006924e-175
"elmamoun_2013_M11","a",3.19008817382051,0.052519031761039,60.7415648547249,0
"elmamoun_2013_M11","b",2.83063581053872,0.409354199989682,6.91488156371688,5.55378524657100e-12
