"model","term","estimate","std.error","statistic","p.value"
"elmamoun_2013_M20","a",44.9908224244383,0.389964931604436,115.371457221377,0
"elmamoun_2013_M20","b",0.019634121215501,0.000478275952677054,41.0518678716814,0
"elmamoun_2013_M20","c",1.248066191026,0.0129727681042652,96.2066215163182,0
"elmamoun_2013_M22","a",1.2480635431601,0.0129727556651741,96.2065096555068,0
"elmamoun_2013_M22","b",1.13204050295503,0.0358188271495346,31.6046222906473,1.98728798860635e-216
"elmamoun_2013_M22","c",0.0222267128162259,0.000192654432414734,115.370887332494,0
"huang_1992_I","a",49.7488952185921,0.282615431911436,176.030356453366,0
"huang_1992_I","b",21.7732423403382,0.345689422784224,62.9849827772394,0
"huang_1992_I","c",6.16960305023481,0.223783666797594,27.5694966416609,1.09163904435774e-165
"peschel_1938","a",47.4489646222241,0.431776055023182,109.892533572008,0
"peschel_1938","b",0.0249686884544253,0.000560898782358474,44.5154976971721,0
"peschel_1938","c",1.1737004016103,0.0126406329037008,92.8513952229931,0
"elmamoun_2013_M4","a",1.75896163452892,0.0977802984854913,17.9889165994918,4.7258810002349e-72
"elmamoun_2013_M4","b",0.484468216214597,0.00835349508370072,57.9958701549831,0
"elmamoun_2013_M4","c",0.0204421815752098,0.000157263222771453,129.987044745471,0
"strand_1958","a",0.0196775633292113,0.000140407896784519,140.145702484313,0
"strand_1958","b",0.477902828803022,0.00727309061782944,65.7083561741249,0
"strand_1958","c",1.01858533391589,0.0827186517920922,12.3138531860509,8.88284656794281e-35
"elmamoun_2013_M7","a",1.5107383255385,0.00577463621306117,261.616190145708,0
"elmamoun_2013_M7","b",0.145628039077388,0.000221534395565941,657.360852274699,0
"elmamoun_2013_M13","a",1.5107383255385,0.00577463621306117,261.616190145708,0
"elmamoun_2013_M13","b",0.145628039077388,0.000221534395565941,657.360852274699,0
"elmamoun_2013_M6","a",47.1530668259376,0.143461732987959,328.680449091571,0
"elmamoun_2013_M6","b",10.373949999296,0.0543055563140729,191.02925563084,0
"huang_1992_IV","a",0.380554938913282,0.021067867195166,18.0632873459825,1.24568765944789e-72
"huang_1992_IV","b",2.30289008418223,0.0429087490433467,53.6694761680382,0
"huang_1992_IV","c",0.178329686864577,0.00166452775104179,107.135304144352,0
"huang_1992","beta0",37.097251436281,0.117683751234224,315.228322068413,0
