"model","term","estimate","std.error","statistic","p.value"
"linear_model_II","a",-9.64333133088714,2.33274566542174,-4.13389743846924,8.72987089719173e-05
"linear_model_II","b",8.54552285464591,0.754677418108171,11.3234113670287,2.71523487092627e-18
"hyperbolic_model_I","a",35.7377833269719,3.64164324193366,9.81364207109855,2.23258589726063e-15
"hyperbolic_model_I","b",25.0637429117189,5.13376283388481,4.88213883709013,5.27380252096878e-06
"elmamoun_2013_M6","a",30.7761781714533,2.38764258744771,12.8897760214404,3.21913838343207e-21
"elmamoun_2013_M6","b",8.92882847372683,1.28455418200509,6.95091620019456,8.8151548069472e-10
"elmamoun_2013_M7","a",1.60948383412992,0.173041672555718,9.30113428955485,2.25074075885654e-14
"elmamoun_2013_M7","b",0.180257289007914,0.00699225522356119,25.7795637093618,1.65993674129381e-40
"elmamoun_2013_M13","a",1.60948383412992,0.173041672555718,9.30113428955485,2.25074075885654e-14
"elmamoun_2013_M13","b",0.180257289007914,0.00699225522356119,25.7795637093618,1.65993674129381e-40
"elmamoun_2013_M14","a",0.256552352003896,0.00743081050713342,34.5254870592664,8.0682085509921e-50
"elmamoun_2013_M14","b",1.68238309355003,0.180268251849118,9.33266438373272,1.95193094241443e-14
"elmamoun_2013_M12","a",36.1820006122631,4.32038660803983,8.37471362977836,1.4882866050363e-12
"elmamoun_2013_M12","b",29.9197905015738,6.67933873597812,4.47945398253445,2.46105037736873e-05
"elmamoun_2013_M8","a",0.511302758227845,0.00652563468749896,78.3529545727313,2.11855331848401e-77
"elmamoun_2013_M8","b",1.42957241581972,0.151923214758154,9.40983521244897,1.37757498856964e-14
"hui_gadow_1993_II","a",28.2976490723403,1.67278774162853,16.9164612868285,3.78047775604106e-28
"hui_gadow_1993_II","b",-13.4629933730008,1.39363106929847,-9.66037114813879,4.45057684264203e-15
"elmamoun_2013_M10","a",3.34277740471231,0.0591140004426621,56.5479815218165,2.85259037554921e-66
"elmamoun_2013_M10","b",-13.4629593436872,1.39362991921345,-9.66035470254937,4.45090655880266e-15
"wykoff_1982_II","a",3.34277740471231,0.0591140004426621,56.5479815218165,2.85259037554921e-66
"wykoff_1982_II","b",-13.4629593436872,1.39362991921345,-9.66035470254937,4.45090655880266e-15
