"model","term","estimate","std.error","statistic","p.value"
"huang_1992","beta0",28.0046951331611,0.852842481248354,32.8368904562177,6.93008768090253e-180
"huang_1992","beta1",2.39649717338301,0.138661951988105,17.2830191629538,2.48761080272761e-61
"huang_1992","beta2",0.0731326120732888,0.00537605262834532,13.6034033014662,6.82673378474103e-40
"elmamoun_2013_M5","a",0.524586261273231,0.0918826715372,5.7093057101724,1.35759237207413e-08
"elmamoun_2013_M5","b",1.19836115835732,0.0691083583524733,17.3403215895438,1.08064673550111e-61
"elmamoun_2013_M5","c",-0.00419931853602655,0.000590618982098271,-7.1100297540519,1.76599937689587e-12
"elmamoun_2013_M22","a",1.55908115155009,0.12499687306983,12.472961229031,4.30608186045159e-34
"elmamoun_2013_M22","b",3.9673049025793,1.2565741464068,3.15723900091682,0.00162344279235483
"elmamoun_2013_M22","c",0.030113324540999,0.00222370402754959,13.541966092575,1.44396744675806e-39
"elmamoun_2013_M14","a",0.225722803462617,0.00232953539221924,96.8960609984899,0
"elmamoun_2013_M14","b",2.27726422185009,0.0594491960980978,38.3060557806761,2.17757483536433e-226
"elmamoun_2013_M4","a",6.88407781015996,1.58165630728449,4.35244861886528,1.43451094502672e-05
"elmamoun_2013_M4","b",0.461876953565013,0.132129787931697,3.49563077936503,0.000486295169059732
"elmamoun_2013_M4","c",0.0268646200069268,0.00269690094501861,9.96129281520255,1.06825310918609e-22
"elmamoun_2013_M7","a",2.14751934282386,0.0562105136332806,38.2049407488847,1.59259453830606e-225
"elmamoun_2013_M7","b",0.152005022408335,0.00218241840374093,69.6498078222673,0
"elmamoun_2013_M13","a",2.14751934282386,0.0562105136332806,38.2049407488847,1.59259453830606e-225
"elmamoun_2013_M13","b",0.152005022408335,0.00218241840374093,69.6498078222673,0
"elmamoun_2013_M6","a",43.2796946250012,1.24278011222275,34.8249012028316,1.02357980743351e-196
"elmamoun_2013_M6","b",14.1279528338207,0.568492624219222,24.8516026979668,5.29109385024686e-115
"elmamoun_2013_M11","a",3.64851700748986,0.104076827680294,35.055997466578,1.19905981769708e-198
"elmamoun_2013_M11","b",6.95816466426047,1.80963312016848,3.84506925006581,0.000125405821057397
"elmamoun_2013_M11","c",1.04851028217692,0.118012793374956,8.88471709033737,1.73976069555335e-18
"elmamoun_2013_M8","a",0.482802284521463,0.00206426289875037,233.886044657265,0
"elmamoun_2013_M8","b",1.99113817352474,0.051685556482281,38.5240734364029,2.98262426549499e-228
"huang_1992_I","a",42.0625087394687,2.45020543306265,17.1669314629233,1.33932246637634e-60
"huang_1992_I","b",23.590336752025,3.15367568188223,7.48026719664002,1.23728511195265e-13
"huang_1992_I","c",4.7035460084719,1.76232246659358,2.66894742456723,0.00768848825500523
"strand_1958","a",0.0244541526399936,0.00226556540137739,10.793840965759,3.08331843852804e-26
"strand_1958","b",0.530638883432539,0.108655512016825,4.8836812195075,1.14904085279552e-06
"strand_1958","c",4.29199165570393,1.26939722933918,3.38112574732673,0.000739877667017547
"huang_1992_IV","a",0.0943721083882963,0.0611242296001252,1.54393943294956,0.122807530388854
"huang_1992_IV","b",2.99055889986375,0.51677678073844,5.78694517890382,8.66108114206106e-09
"huang_1992_IV","c",0.185132210251846,0.0158391540407732,11.6882637655571,2.63777603192511e-30
"elmamoun_2013_M15","a",0.636514311740543,0.00159652302009414,398.687838339475,0
