"model","term","estimate","std.error","statistic","p.value"
"elmamoun_2013_M18","a",0.350630259320237,0.095846085032854,3.65826375902623,0.000388639958642732
"elmamoun_2013_M18","b",2.51578626518631,0.268998541728664,9.35241599831408,1.03269037369379e-15
"elmamoun_2013_M12","a",32.0869186679013,20.692149129328,1.55068081461016,0.123799396399626
"elmamoun_2013_M12","b",91.3519680653942,68.8003323455924,1.32778381951009,0.186949350410795
"power_model","a",0.978570515072379,0.17997988043472,5.437110596522,3.20790037126938e-07
"power_model","b",0.659667847658209,0.0690564502275313,9.55258843286465,3.5642234709945e-16
"elmamoun_2013_M1","a",0.435909192680141,0.107476665680357,4.0558496108966,9.26477103906354e-05
"elmamoun_2013_M1","b",0.861052483889091,0.0906963528984084,9.49379392194063,4.87254929004101e-16
"hui_gadow_1993_III","a",0.435909192680141,0.107476665680357,4.0558496108966,9.26477103906354e-05
"hui_gadow_1993_III","b",0.861052483889091,0.0906963528984084,9.49379392194063,4.87254929004101e-16
"elmamoun_2013_M7","a",2.94464752669451,0.334034139259933,8.81540890765986,1.76932994991483e-14
"elmamoun_2013_M7","b",0.268218334414575,0.022997154246679,11.6631097716496,4.65448329057211e-21
"elmamoun_2013_M13","a",2.94464752669451,0.334034139259933,8.81540890765986,1.76932994991483e-14
"elmamoun_2013_M13","b",0.268218334414575,0.022997154246679,11.6631097716496,4.65448329057211e-21
"elmamoun_2013_M6","a",13.9002524667856,2.38362617100132,5.83155724496278,5.39853133115104e-08
"elmamoun_2013_M6","b",10.9785352817031,2.15451388053168,5.09559737855753,1.42249382264717e-06
"hyperbolic_model_I","a",17.0802858799302,3.66154524504891,4.66477531665788,8.60613300832502e-06
"hyperbolic_model_I","b",28.2185483447298,9.04701036978548,3.11910202280435,0.00230663947610892
"elmamoun_2013_M14","a",0.359783929311813,0.0216312620329384,16.6325907736665,4.89784468859079e-32
"elmamoun_2013_M14","b",2.71189155208787,0.307525611415703,8.81842503979944,1.74143525479657e-14
"linear_model_I","a",1.85109483582651,0.380766624698025,4.86149445817254,3.82666294830099e-06
"linear_model_I","b",0.260182236887254,0.0284232646011784,9.15384775598463,2.95992144721932e-15
"elmamoun_2013_M8","a",0.614868683536993,0.0148913278386598,41.290386606137,1.32939150510408e-69
"elmamoun_2013_M8","b",1.78810080799925,0.202808593547151,8.81669152536938,1.75741365116414e-14
"hui_gadow_1993_II","a",11.0651467690545,1.19580870968718,9.25327494223479,1.74756266382373e-15
"hui_gadow_1993_II","b",-13.7072359577033,1.53542409066996,-8.92732896467863,9.80557363871854e-15
"elmamoun_2013_M10","a",2.40380706697012,0.108069833840054,22.243090245959,6.71851566894828e-43
"elmamoun_2013_M10","b",-13.707338111976,1.53542620023804,-8.92738323069578,9.80276520874686e-15
"wykoff_1982_II","a",2.40380706697012,0.108069833840054,22.243090245959,6.71851566894828e-43
"wykoff_1982_II","b",-13.707338111976,1.53542620023804,-8.92738323069578,9.80276520874686e-15
"wykoff_1982_III","a",2.40380706697012,0.108069833840054,22.243090245959,6.71851566894828e-43
"wykoff_1982_III","b",-13.707338111976,1.53542620023804,-8.92738323069578,9.80276520874686e-15
"elmamoun_2013_M15","a",0.741522541385241,0.0104783299839122,70.7672446395305,8.28241388816785e-95
"elmamoun_2013_M15","b",1.23761228706375,0.140424960490807,8.81333548350739,1.78876385923951e-14
"elmamoun_2013_M16","a",10.6745811784912,1.12032763526914,9.5280887862119,4.06029605859828e-16
"elmamoun_2013_M16","b",12.6753737317885,1.42954746743887,8.86670363908746,1.35016480142188e-14
"linear_model_II","a",-3.64620505349787,0.975770149699054,-3.73674584595811,0.000295137094358294
"linear_model_II","b",3.55278049508473,0.392079984802565,9.0613666414871,4.82913047134603e-15
"elmamoun_2013_M17","a",2.33324037569853,0.10197025966682,22.8815772689234,4.97548454563539e-44
"elmamoun_2013_M17","b",-11.7123189596535,1.33030373344584,-8.80424422272011,1.8765172797204e-14
"schumacher_1939","beta0",10.3112661450709,1.05144252124543,9.80678062444846,9.20801079421276e-17
"schumacher_1939","beta1",-11.7122736226375,1.3303026771789,-8.80421713310768,1.87678507105766e-14
"elmamoun_2013_M2","a",10.3112604811841,1.05144195456201,9.80678052311443,9.20801576668152e-17
"elmamoun_2013_M2","b",-11.7122660342734,1.33030249317198,-8.80421264666398,1.8768294249715e-14
"huang_1992_VII","a",9.70984600982637,1.98251708731015,4.89773635343569,3.32086918825544e-06
"huang_1992_VII","b",3.96781455562353,0.761582442473684,5.20996064816796,8.79356630553152e-07
"huang_1992_VII","c",0.120275926537363,0.0408250175240874,2.94613288203484,0.00392166744166821
"logistic_model","a",9.70984600982637,1.98251708731015,4.89773635343569,3.32086918825544e-06
"logistic_model","b",3.96781455562353,0.761582442473684,5.20996064816796,8.79356630553152e-07
"logistic_model","c",0.120275926537363,0.0408250175240874,2.94613288203484,0.00392166744166821
"pearl_1920","beta0",9.70988904893136,1.98255710720078,4.89765919663267,3.32194069304932e-06
"pearl_1920","beta1",3.96780676187664,0.761575058070517,5.21000093139769,8.79203311137965e-07
"pearl_1920","beta2",0.120274939479684,0.0408248944716991,2.94611758428578,0.00392184713754153
"elmamoun_2013_M11","a",2.87161562347661,1.18510394812808,2.42309177014593,0.0170060013865632
"elmamoun_2013_M11","b",7.35305885791714,6.65145828271051,1.10548071496296,0.271341691343547
"elmamoun_2013_M11","c",0.903480203496433,0.578793899102823,1.56097050244811,0.121377364853495
"huang_1992","beta0",11.045298156482,3.65912224793606,3.01856494756691,0.00315093923561737
"huang_1992","beta1",1.8839906368445,0.208654535176075,9.02923406507643,6.10856905350509e-15
"huang_1992","beta2",0.0727328599559015,0.0388387633759397,1.87268732662479,0.0637428353551615
"seber_1989","beta0",11.0453000900715,3.65912463210705,3.01856350919408,0.00315095304380147
"seber_1989","beta1",0.0727328388831374,0.038838760706307,1.87268691277594,0.0637428930724044
"seber_1989","beta2",8.70847608335363,4.42670269747402,1.96726021115511,0.0516482773869042
"ratkowsky_1990","a",2.88032133459558,0.646827666944105,4.45299649627461,2.02743837271277e-05
"ratkowsky_1990","b",-31.9849447448876,29.8141341314509,-1.07281145928523,0.285682542711256
"ratkowsky_1990","c",8.4627244805346,10.3693202105366,0.816131077901839,0.416173144762354
"strand_1958","a",0.0384220010083992,0.0338978260591151,1.13346504703264,0.25946119950952
"strand_1958","b",2.25571380644023,0.963270316599287,2.34172460997632,0.0209786663759642
"strand_1958","c",-3.96316481464271,6.16447513540918,-0.642903852734844,0.521612327597707
"elmamoun_2013_M5","a",0.296485939347671,0.226410114779447,1.30950836554492,0.193066244618771
"elmamoun_2013_M5","b",1.06161401134862,0.386404508625594,2.74741621189848,0.00701128430191683
"elmamoun_2013_M5","c",-0.00346463493347485,0.00650081344080692,-0.532954062598788,0.595130792976849
"elmamoun_2013_M19","a",11.8678729626158,12.6441885517053,0.938602972747917,0.34997252671707
"elmamoun_2013_M19","b",-0.0237645810684011,0.010716611978377,-2.21754609725081,0.0286229326918863
"elmamoun_2013_M19","c",1.11426050315268,0.424268984464507,2.62630676281711,0.0098504438150005
"yang_1978","a",11.8678729626158,12.6441885517053,0.938602972747917,0.34997252671707
